code,codeName,peTTM,pbMRQ,close,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.600015,华夏银行,4.092025,0.360004,6.98,J66货币金融服务,0.0460781052631579,0.023486857114126937,19,0.5097183788263541,0.505,0.0,0.07234957020057306,1.0,2.0,10.0,216.0,100.0,13.0
sh.600016,民生银行,5.899779,0.318674,4.09,J66货币金融服务,0.04280461111111111,0.015324651625015968,18,0.35801403697458273,0.328,0.0,0.08019559902200489,13.0,1.0,3.0,227.0,14.0,17.0
sz.000001,平安银行,5.310771,0.511164,11.8,J66货币金融服务,0.06462926315789475,0.0274875204225928,19,0.425310750571896,0.844,0.0,0.07152542372881356,6.0,10.0,11.0,159.0,32.0,27.0
sh.601668,中国建筑,4.893649,0.453308,5.29,E48土木工程建筑业,0.08472672222222223,0.04035246886798663,18,0.476266139059997,0.27149999999999996,0.0,0.05132325141776937,3.0,7.0,41.0,111.0,72.0,51.0
sh.601919,中远海控,6.208763,1.017134,15.25,G55水上运输业,0.3093039444444445,0.30284762913822494,18,0.9791263078852226,2.1100000000000003,0.0,0.13836065573770495,16.0,46.0,2.0,2.0,248.0,64.0
sh.601186,中国铁建,4.991051,0.390196,7.84,E48土木工程建筑业,0.05036677777777778,0.026543240811386273,18,0.5269989858890152,0.3,0.0,0.03826530612244898,4.0,3.0,69.0,203.0,114.0,76.0
sh.600023,浙能电力,9.42048,0.914556,5.12,D44电力、热力生产和供应业,0.037442722222222224,0.040338518124092164,18,1.0773393527501398,0.33999999999999997,0.0,0.06640624999999999,41.0,40.0,18.0,236.0,253.0,99.0
sh.601390,中国中铁,5.535194,0.435086,5.55,E48土木工程建筑业,0.058079555555555565,0.030458817763589507,18,0.5244326936085858,0.178,0.0,0.03207207207207207,8.0,5.0,94.0,179.0,109.0,107.0
sh.601318,中国平安,7.792633,1.108224,60.37,J68保险业,0.08043311111111112,0.03518440777638815,18,0.4374368626346437,3.5,0.0,0.057975815802550935,31.0,52.0,29.0,123.0,40.0,112.0
sz.000651,格力电器,7.099649,1.557581,40.16,C38电气机械和器材制造业,0.1353176111111111,0.07996581039723745,18,0.5909490253384422,3.0,0.0,0.07470119521912351,25.0,90.0,8.0,38.0,160.0,123.0
sh.601857,中国石油,11.883502,1.206066,10.27,B07石油和天然气开采业,0.0655585,0.031033244230037837,18,0.47336720989708175,0.6900000000000001,0.0,0.06718597857838365,53.0,61.0,15.0,155.0,69.0,129.0
sh.600027,华电国际,9.153103,1.237962,5.19,D44电力、热力生产和供应业,0.03330983333333334,0.03556127355664569,18,1.06759085825444,0.3,0.0,0.05780346820809248,39.0,67.0,30.0,247.0,252.0,136.0
sh.600018,上港集团,9.011329,0.927741,5.58,G55水上运输业,0.08795194444444444,0.04437635236378018,18,0.504552260260839,0.245,0.0,0.04390681003584229,38.0,41.0,58.0,101.0,96.0,137.0
sh.601006,大秦铁路,16.940408,0.677995,5.6,G53铁路运输业,0.056418222222222224,0.027750548426071015,18,0.49187208198028837,0.34924,0.0,0.06236428571428572,101.0,21.0,23.0,187.0,88.0,145.0
sh.600741,华域汽车,9.159147,0.97712,20.06,C36汽车制造业,0.0690476111111111,0.040044757780056534,18,0.5799586276144542,0.8,0.0,0.039880358923230316,40.0,42.0,67.0,147.0,153.0,149.0
sh.601298,青岛港,10.345213,1.250621,8.74,G55水上运输业,0.0760698888888889,0.03492729285730386,18,0.4591474151923665,0.4607,0.0,0.0527116704805492,44.0,70.0,38.0,132.0,55.0,152.0
sh.600585,海螺水泥,13.841039,0.639925,22.99,C30非金属矿物制品业,0.05379527777777778,0.04755573862669011,18,0.8840132552737714,0.95,0.0,0.04132231404958678,72.0,18.0,65.0,193.0,241.0,155.0
sz.001965,招商公路,13.027777,1.008517,9.92,G54道路运输业,0.05208684210526316,0.026456611805963776,19,0.5079327280486149,0.417,0.0,0.04203629032258065,63.0,45.0,62.0,197.0,99.0,170.0
sz.000157,中联重科,16.184353,1.19366,8.05,C35专用设备制造业,0.05094655555555556,0.03088326409566538,18,0.6061894422281048,0.5,0.0,0.06211180124223602,90.0,59.0,24.0,201.0,165.0,173.0
sz.000338,潍柴动力,12.615809,1.593535,17.2,C36汽车制造业,0.07403494444444444,0.04186605880307596,18,0.5654905142056545,1.077,0.0,0.06261627906976744,58.0,95.0,22.0,139.0,145.0,175.0
sh.600938,中国海油,11.384235,1.786092,29.52,B07石油和天然气开采业,0.1307229375,0.06447385596190004,16,0.4932099690760089,1.94771,0.0,0.06597933604336044,49.0,109.0,19.0,43.0,89.0,177.0
sh.601898,中煤能源,11.443778,1.250334,14.84,B06煤炭开采和洗选业,0.0900607894736842,0.04143363547835523,19,0.46006298324158207,0.645,0.0,0.043463611859838276,50.0,69.0,59.0,94.0,58.0,178.0
sh.600219,南山铝业,11.290309,1.109619,4.97,C32有色金属冶炼和压延加工业,0.04855388888888889,0.026061842846874114,18,0.5367611831570123,0.17,0.0,0.03420523138832998,48.0,53.0,81.0,207.0,121.0,182.0
sh.600795,国电电力,12.93727,1.567454,5.38,D44电力、热力生产和供应业,0.07266984210526316,0.05714220404517445,19,0.7863262446945084,0.30000000000000004,0.0,0.05576208178438662,62.0,91.0,33.0,140.0,228.0,186.0
sh.601601,中国太保,6.584467,1.212931,35.83,J68保险业,0.08632677777777778,0.03899518399005575,18,0.45171596802138353,1.08,0.0,0.030142338822216022,19.0,62.0,105.0,105.0,49.0,186.0
sh.600332,白云山,14.360403,1.131431,26.38,C27医药制造业,0.08842844444444445,0.02796198539029946,18,0.31621030502087705,1.2000000000000002,0.0,0.04548900682335103,77.0,55.0,54.0,99.0,9.0,186.0
sh.600019,宝钢股份,17.237861,0.79663,7.47,C31黑色金属冶炼和压延加工业,0.044041000000000004,0.03396173610195485,18,0.7711390772678832,0.33,0.0,0.04417670682730924,104.0,30.0,56.0,223.0,223.0,190.0
sh.601336,新华保险,5.539579,2.116778,68.2,J68保险业,0.10110083333333333,0.061502291686857447,18,0.6083262586380671,3.1999999999999997,0.0,0.046920821114369494,9.0,133.0,51.0,79.0,167.0,193.0
sh.600050,中国联通,17.872819,0.983774,5.41,I63电信、广播电视和卫星传输服务,0.035368000000000004,0.01502820794373035,19,0.4249097473346061,0.2692,0.0,0.049759704251386316,113.0,43.0,43.0,245.0,31.0,199.0
sh.600999,招商证券,12.038015,1.239021,16.76,J67资本市场服务,0.04912066666666667,0.026251765303106984,18,0.5344342225900908,0.597,0.0,0.03562052505966587,55.0,68.0,77.0,205.0,120.0,200.0


统计项,数值
行业分布统计：,
,J66货币金融服务: 3只
,E48土木工程建筑业: 3只
,G55水上运输业: 3只
,D44电力、热力生产和供应业: 3只
,J68保险业: 3只
,C38电气机械和器材制造业: 1只
,B07石油和天然气开采业: 2只
,G53铁路运输业: 1只
,C36汽车制造业: 2只
,C30非金属矿物制品业: 1只
,G54道路运输业: 1只
,C35专用设备制造业: 1只
,B06煤炭开采和洗选业: 1只
,C32有色金属冶炼和压延加工业: 1只
,C27医药制造业: 1只
,C31黑色金属冶炼和压延加工业: 1只
,I63电信、广播电视和卫星传输服务: 1只
,J67资本市场服务: 1只
统计信息：,
,目标日期：2025-11-19
,总股票数量：273
,筛选后股票数量：30
,涉及行业数量：18
,有分红的股票数量：268
,平均分红收益率：0.028
,最高分红收益率：0.383
,分红数据年份范围：2024年-2025年
,ROE数据年份范围：2021年-2025年（共5年）
,有ROE数据的股票数量：267
,平均ROE均值：8.22%
,平均ROE波动率：57.95%
前100只股票估值统计：,
,前100只股票估值统计：
,综合PE均值：11.27
,综合PB均值：1.207
,综合PE*PB均值：14.66
,综合PE中位数：11.61
,综合PB中位数：1.138
,综合PE*PB中位数：14.02
筛选后30只股票估值统计：,
,筛选后30只股票估值统计：
,综合PE均值：10.14
,综合PB均值：1.032
,综合PE*PB均值：10.86
,综合PE中位数：9.88
,综合PB中位数：1.063
,综合PE*PB中位数：11.41
