code,codeName,peTTM,pbMRQ,close,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.600015,华夏银行,3.998225,0.351752,6.82,J66货币金融服务,0.0460781052631579,0.023486857114126937,19,0.5097183788263541,0.505,0.0,0.07404692082111437,1.0,2.0,13.0,217.0,100.0,16.0
sh.600016,民生银行,5.570675,0.308434,3.97,J66货币金融服务,0.04280461111111111,0.015324651625015968,18,0.35801403697458273,0.328,0.0,0.08261964735516372,11.0,1.0,4.0,228.0,14.0,16.0
sh.601229,上海银行,5.56506,0.545185,9.33,J66货币金融服务,0.0636251111111111,0.029004622677994106,18,0.4558675367551368,0.8,0.0,0.0857449088960343,10.0,11.0,3.0,165.0,51.0,24.0
sh.601919,中远海控,4.618932,0.990543,14.84,G55水上运输业,0.3093039444444445,0.30284762913822494,18,0.9791263078852226,2.1100000000000003,0.0,0.14218328840970354,3.0,43.0,2.0,2.0,248.0,48.0
sh.601668,中国建筑,4.908449,0.488083,5.6,E48土木工程建筑业,0.08472672222222223,0.04035246886798663,18,0.476266139059997,0.27149999999999996,0.0,0.048482142857142856,5.0,8.0,51.0,112.0,72.0,64.0
sh.601186,中国铁建,5.208388,0.406613,8.06,E48土木工程建筑业,0.05036677777777778,0.026543240811386273,18,0.5269989858890152,0.3,0.0,0.03722084367245657,7.0,3.0,72.0,204.0,114.0,82.0
sh.600023,浙能电力,9.775568,0.97284,5.35,D44电力、热力生产和供应业,0.037442722222222224,0.040338518124092164,18,1.0773393527501398,0.33999999999999997,0.0,0.06355140186915888,40.0,40.0,24.0,237.0,253.0,104.0
sh.601857,中国石油,10.40653,1.069264,9.09,B07石油和天然气开采业,0.0655585,0.031033244230037837,18,0.47336720989708175,0.6900000000000001,0.0,0.07590759075907591,48.0,49.0,9.0,156.0,69.0,106.0
sh.601318,中国平安,7.609338,1.082156,58.95,J68保险业,0.08043311111111112,0.03518440777638815,18,0.4374368626346437,3.5,0.0,0.05937234944868532,29.0,50.0,29.0,124.0,40.0,108.0
sh.601800,中国交建,6.706703,0.496425,8.88,E48土木工程建筑业,0.04491883333333333,0.021733572693632585,18,0.48384098786253543,0.30166000000000004,0.0,0.03397072072072072,22.0,10.0,82.0,220.0,80.0,114.0
sz.000338,潍柴动力,11.103803,1.382004,14.2,C36汽车制造业,0.07403494444444444,0.04186605880307596,18,0.5654905142056545,1.077,0.0,0.07584507042253522,50.0,75.0,10.0,140.0,145.0,135.0
sz.000651,格力电器,7.021416,1.683374,40.69,C38电气机械和器材制造业,0.1353176111111111,0.07996581039723745,18,0.5909490253384422,3.0,0.0,0.07372818874416319,24.0,98.0,14.0,38.0,160.0,136.0
sh.600018,上港集团,9.022986,0.962898,5.65,G55水上运输业,0.08795194444444444,0.04437635236378018,18,0.504552260260839,0.245,0.0,0.04336283185840708,37.0,38.0,61.0,102.0,96.0,136.0
sh.601006,大秦铁路,15.9452,0.709004,5.77,G53铁路运输业,0.056418222222222224,0.027750548426071015,18,0.49187208198028837,0.34924,0.0,0.060526863084922014,88.0,22.0,27.0,188.0,88.0,137.0
sh.600027,华电国际,9.629276,1.302364,5.37016662,D44电力、热力生产和供应业,0.03330983333333334,0.03556127355664569,18,1.06759085825444,0.3,0.0,0.055864188437415745,39.0,67.0,35.0,248.0,252.0,141.0
sh.601298,青岛港,10.155826,1.227726,8.58,G55水上运输业,0.0760698888888889,0.03492729285730386,18,0.4591474151923665,0.4607,0.0,0.0536946386946387,46.0,58.0,38.0,133.0,55.0,142.0
sh.600741,华域汽车,9.352797,1.001035,19.91,C36汽车制造业,0.0690476111111111,0.040044757780056534,18,0.5799586276144542,0.8,0.0,0.04018081366147665,38.0,45.0,64.0,148.0,153.0,147.0
sh.600938,中国海油,10.102227,1.640802,27.15,B07石油和天然气开采业,0.1307229375,0.06447385596190004,16,0.4932099690760089,1.94771,0.0,0.0717388581952118,45.0,91.0,15.0,43.0,89.0,151.0
sh.600585,海螺水泥,14.190759,0.655796,23.4,C30非金属矿物制品业,0.05379527777777778,0.04755573862669011,18,0.8840132552737714,0.95,0.0,0.0405982905982906,74.0,19.0,63.0,194.0,241.0,156.0
sh.601898,中煤能源,10.657211,1.164395,13.82,B06煤炭开采和洗选业,0.0900607894736842,0.04143363547835523,19,0.46006298324158207,0.645,0.0,0.04667149059334298,49.0,56.0,52.0,95.0,58.0,157.0
sh.600028,中国石化,18.532691,0.808389,5.52,B07石油和天然气开采业,0.05156111111111111,0.02418617123576511,18,0.46907777420943003,0.374,0.0,0.0677536231884058,115.0,31.0,17.0,200.0,66.0,163.0
sh.600219,南山铝业,10.07769,1.026354,4.57,C32有色金属冶炼和压延加工业,0.04855388888888889,0.026061842846874114,18,0.5367611831570123,0.17,0.0,0.037199124726477024,44.0,46.0,73.0,208.0,121.0,163.0
sh.600795,国电电力,12.865129,1.558713,5.35,D44电力、热力生产和供应业,0.07266984210526316,0.05714220404517445,19,0.7863262446945084,0.30000000000000004,0.0,0.0560747663551402,61.0,84.0,34.0,141.0,228.0,179.0
sz.000157,中联重科,17.287943,1.209282,7.99,C35专用设备制造业,0.05094655555555556,0.03088326409566538,18,0.6061894422281048,0.5,0.0,0.0625782227784731,99.0,57.0,26.0,202.0,165.0,182.0
sh.600332,白云山,14.218867,1.12028,26.12,C27医药制造业,0.08842844444444445,0.02796198539029946,18,0.31621030502087705,1.2000000000000002,0.0,0.04594180704441042,75.0,53.0,55.0,100.0,9.0,183.0
sz.001965,招商公路,13.748435,1.064305,10.43,G54道路运输业,0.05208684210526316,0.026456611805963776,19,0.5079327280486149,0.417,0.0,0.03998082454458293,70.0,47.0,66.0,198.0,99.0,183.0
sh.600050,中国联通,18.137112,0.998322,5.49,I63电信、广播电视和卫星传输服务,0.035368000000000004,0.01502820794373035,19,0.4249097473346061,0.2692,0.0,0.04903460837887067,108.0,44.0,47.0,246.0,31.0,199.0
sh.601601,中国太保,7.581264,1.283299,37.6,J68保险业,0.08632677777777778,0.03899518399005575,18,0.45171596802138353,1.08,0.0,0.02872340425531915,28.0,65.0,111.0,106.0,49.0,204.0
sh.601728,中国电信,18.175802,1.368245,6.85,I63电信、广播电视和卫星传输服务,0.047967210526315786,0.020107149785804353,19,0.4191853052362335,0.441,0.0,0.06437956204379562,110.0,73.0,21.0,213.0,28.0,204.0
sh.600941,中国移动,16.043789,1.677128,105.97,I63电信、广播电视和卫星传输服务,0.06676461111111111,0.0295557977295167,18,0.4426865855674543,7.173,0.0,0.06768896857601207,90.0,96.0,18.0,153.0,42.0,204.0


统计项,数值
行业分布统计：,
,J66货币金融服务: 3只
,G55水上运输业: 3只
,E48土木工程建筑业: 3只
,D44电力、热力生产和供应业: 3只
,B07石油和天然气开采业: 3只
,J68保险业: 2只
,C36汽车制造业: 2只
,C38电气机械和器材制造业: 1只
,G53铁路运输业: 1只
,C30非金属矿物制品业: 1只
,B06煤炭开采和洗选业: 1只
,C32有色金属冶炼和压延加工业: 1只
,C35专用设备制造业: 1只
,C27医药制造业: 1只
,G54道路运输业: 1只
,I63电信、广播电视和卫星传输服务: 3只
统计信息：,
,目标日期：2025-10-29
,总股票数量：274
,筛选后股票数量：30
,涉及行业数量：16
,有分红的股票数量：269
,平均分红收益率：0.028
,最高分红收益率：0.381
,分红数据年份范围：2024年-2025年
,ROE数据年份范围：2021年-2025年（共5年）
,有ROE数据的股票数量：268
,平均ROE均值：8.24%
,平均ROE波动率：58.14%
前100只股票估值统计：,
,前100只股票估值统计：
,综合PE均值：11.48
,综合PB均值：1.317
,综合PE*PB均值：16.70
,综合PE中位数：11.25
,综合PB中位数：1.139
,综合PE*PB中位数：14.81
筛选后30只股票估值统计：,
,筛选后30只股票估值统计：
,综合PE均值：10.61
,综合PB均值：1.019
,综合PE*PB均值：11.46
,综合PE中位数：10.09
,综合PB中位数：1.045
,综合PE*PB中位数：11.22
