code,codeName,peTTM,pbMRQ,close,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.600015,华夏银行,4.062712,0.357426,6.93,J66货币金融服务,0.0460781052631579,0.023486857114126937,19,0.5097183788263541,0.505,0.0,0.07287157287157288,1.0,2.0,10.0,216.0,100.0,13.0
sh.600016,民生银行,5.856504,0.316337,4.06,J66货币金融服务,0.04280461111111111,0.015324651625015968,18,0.35801403697458273,0.328,0.0,0.08078817733990148,14.0,1.0,4.0,227.0,14.0,19.0
sz.000001,平安银行,5.220758,0.5025,11.6,J66货币金融服务,0.06462926315789475,0.0274875204225928,19,0.425310750571896,0.844,0.0,0.07275862068965518,5.0,10.0,11.0,159.0,32.0,26.0
sh.601668,中国建筑,4.875148,0.451594,5.27,E48土木工程建筑业,0.08472672222222223,0.04035246886798663,18,0.476266139059997,0.27149999999999996,0.0,0.05151802656546489,3.0,7.0,40.0,111.0,72.0,50.0
sh.601919,中远海控,6.037768,0.989121,14.83,G55水上运输业,0.3093039444444445,0.30284762913822494,18,0.9791263078852226,2.1100000000000003,0.0,0.14227916385704656,15.0,45.0,2.0,2.0,248.0,62.0
sh.601186,中国铁建,4.921023,0.384721,7.73,E48土木工程建筑业,0.05036677777777778,0.026543240811386273,18,0.5269989858890152,0.3,0.0,0.03880983182406209,4.0,3.0,69.0,203.0,114.0,76.0
sh.600023,浙能电力,9.218087,0.894907,5.01,D44电力、热力生产和供应业,0.037442722222222224,0.040338518124092164,18,1.0773393527501398,0.33999999999999997,0.0,0.06786427145708583,42.0,40.0,18.0,236.0,253.0,100.0
sh.601390,中国中铁,5.413473,0.425519,5.44,E48土木工程建筑业,0.058079555555555565,0.030458817763589507,18,0.5244326936085858,0.178,0.0,0.03272058823529411,9.0,5.0,92.0,179.0,109.0,106.0
sh.601318,中国平安,7.538343,1.07206,58.4,J68保险业,0.08043311111111112,0.03518440777638815,18,0.4374368626346437,3.5,0.0,0.05993150684931507,30.0,53.0,27.0,123.0,40.0,110.0
sh.601857,中国石油,11.316519,1.148522,9.78,B07石油和天然气开采业,0.0655585,0.031033244230037837,18,0.47336720989708175,0.6900000000000001,0.0,0.07055214723926381,51.0,58.0,14.0,155.0,69.0,123.0
sz.000651,格力电器,7.09081,1.555642,40.11,C38电气机械和器材制造业,0.1353176111111111,0.07996581039723745,18,0.5909490253384422,3.0,0.0,0.07479431563201197,26.0,93.0,9.0,38.0,160.0,128.0
sh.600027,华电国际,8.906198,1.204568,5.05,D44电力、热力生产和供应业,0.03330983333333334,0.03556127355664569,18,1.06759085825444,0.3,0.0,0.0594059405940594,40.0,68.0,28.0,247.0,252.0,136.0
sh.600018,上港集团,8.882134,0.91444,5.5,G55水上运输业,0.08795194444444444,0.04437635236378018,18,0.504552260260839,0.245,0.0,0.04454545454545455,39.0,41.0,59.0,101.0,96.0,139.0
sh.600741,华域汽车,8.834969,0.942536,19.35,C36汽车制造业,0.0690476111111111,0.040044757780056534,18,0.5799586276144542,0.8,0.0,0.041343669250646,38.0,42.0,66.0,147.0,153.0,146.0
sh.601006,大秦铁路,16.758904,0.670731,5.54,G53铁路运输业,0.056418222222222224,0.027750548426071015,18,0.49187208198028837,0.34924,0.0,0.06303971119133574,102.0,21.0,25.0,187.0,88.0,148.0
sh.601298,青岛港,9.954604,1.203401,8.41,G55水上运输业,0.0760698888888889,0.03492729285730386,18,0.4591474151923665,0.4607,0.0,0.05478002378121284,44.0,67.0,37.0,132.0,55.0,148.0
sh.600585,海螺水泥,13.774814,0.636863,22.88,C30非金属矿物制品业,0.05379527777777778,0.04755573862669011,18,0.8840132552737714,0.95,0.0,0.041520979020979024,74.0,18.0,65.0,193.0,241.0,157.0
sh.601898,中煤能源,10.603231,1.158497,13.75,B06煤炭开采和洗选业,0.0900607894736842,0.04143363547835523,19,0.46006298324158207,0.645,0.0,0.04690909090909091,48.0,61.0,53.0,94.0,58.0,162.0
sz.000338,潍柴动力,12.175723,1.537946,16.6,C36汽车制造业,0.07403494444444444,0.04186605880307596,18,0.5654905142056545,1.077,0.0,0.06487951807228914,58.0,90.0,21.0,139.0,145.0,169.0
sh.600938,中国海油,10.798055,1.694125,28.0,B07石油和天然气开采业,0.1307229375,0.06447385596190004,16,0.4932099690760089,1.94771,0.0,0.06956107142857143,49.0,106.0,16.0,43.0,89.0,171.0
sz.000157,中联重科,15.862677,1.169935,7.89,C35专用设备制造业,0.05094655555555556,0.03088326409566538,18,0.6061894422281048,0.5,0.0,0.06337135614702155,91.0,63.0,24.0,201.0,165.0,178.0
sh.600219,南山铝业,10.835971,1.064966,4.77,C32有色金属冶炼和压延加工业,0.04855388888888889,0.026061842846874114,18,0.5367611831570123,0.17,0.0,0.03563941299790357,50.0,51.0,78.0,207.0,121.0,179.0
sh.601601,中国太保,6.303299,1.161137,34.3,J68保险业,0.08632677777777778,0.03899518399005575,18,0.45171596802138353,1.08,0.0,0.03148688046647231,19.0,62.0,99.0,105.0,49.0,180.0
sh.601336,新华保险,5.258539,2.009387,64.74,J68保险业,0.10110083333333333,0.061502291686857447,18,0.6083262586380671,3.1999999999999997,0.0,0.04942848316342292,7.0,130.0,45.0,79.0,167.0,182.0
sz.001965,招商公路,13.303567,1.029867,10.13,G54道路运输业,0.05208684210526316,0.026456611805963776,19,0.5079327280486149,0.417,0.0,0.04116485686080947,68.0,48.0,67.0,197.0,99.0,183.0
sh.600019,宝钢股份,16.545578,0.764637,7.17,C31黑色金属冶炼和压延加工业,0.044041000000000004,0.03396173610195485,18,0.7711390772678832,0.33,0.0,0.04602510460251046,100.0,28.0,56.0,223.0,223.0,184.0
sh.600795,国电电力,12.648707,1.532492,5.26,D44电力、热力生产和供应业,0.07266984210526316,0.05714220404517445,19,0.7863262446945084,0.30000000000000004,0.0,0.0570342205323194,64.0,89.0,31.0,140.0,228.0,184.0
sh.600332,白云山,14.175318,1.116848,26.04,C27医药制造业,0.08842844444444445,0.02796198539029946,18,0.31621030502087705,1.2000000000000002,0.0,0.04608294930875577,79.0,56.0,55.0,99.0,9.0,190.0
sh.600028,中国石化,19.615963,0.851003,5.84,B07石油和天然气开采业,0.05156111111111111,0.02418617123576511,18,0.46907777420943003,0.374,0.0,0.06404109589041096,135.0,34.0,23.0,199.0,66.0,192.0
sh.600999,招商证券,11.750712,1.20945,16.36,J67资本市场服务,0.04912066666666667,0.026251765303106984,18,0.5344342225900908,0.597,0.0,0.036491442542787286,54.0,69.0,76.0,205.0,120.0,199.0


统计项,数值
行业分布统计：,
,J66货币金融服务: 3只
,E48土木工程建筑业: 3只
,G55水上运输业: 3只
,D44电力、热力生产和供应业: 3只
,J68保险业: 3只
,B07石油和天然气开采业: 3只
,C38电气机械和器材制造业: 1只
,C36汽车制造业: 2只
,G53铁路运输业: 1只
,C30非金属矿物制品业: 1只
,B06煤炭开采和洗选业: 1只
,C35专用设备制造业: 1只
,C32有色金属冶炼和压延加工业: 1只
,G54道路运输业: 1只
,C31黑色金属冶炼和压延加工业: 1只
,C27医药制造业: 1只
,J67资本市场服务: 1只
统计信息：,
,目标日期：2025-11-24
,总股票数量：273
,筛选后股票数量：30
,涉及行业数量：17
,有分红的股票数量：268
,平均分红收益率：0.029
,最高分红收益率：0.383
,分红数据年份范围：2024年-2025年
,ROE数据年份范围：2021年-2025年（共5年）
,有ROE数据的股票数量：267
,平均ROE均值：8.22%
,平均ROE波动率：57.95%
前100只股票估值统计：,
,前100只股票估值统计：
,综合PE均值：11.01
,综合PB均值：1.187
,综合PE*PB均值：14.06
,综合PE中位数：11.08
,综合PB中位数：1.106
,综合PE*PB中位数：12.82
筛选后30只股票估值统计：,
,筛选后30只股票估值统计：
,综合PE均值：9.95
,综合PB均值：0.999
,综合PE*PB均值：10.25
,综合PE中位数：9.59
,综合PB中位数：1.047
,综合PE*PB中位数：10.88
