code,codeName,peTTM,pbMRQ,close,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.600015,华夏银行,4.138925,0.364131,7.06,J66货币金融服务,0.0460781052631579,0.023486857114126937,19,0.5097183788263541,0.505,0.0,0.07152974504249292,1.0,2.0,10.0,216.0,100.0,13.0
sh.600016,民生银行,5.957479,0.321791,4.13,J66货币金融服务,0.04280461111111111,0.015324651625015968,18,0.35801403697458273,0.328,0.0,0.07941888619854721,14.0,1.0,4.0,227.0,14.0,19.0
sz.000001,平安银行,5.310771,0.511164,11.8,J66货币金融服务,0.06462926315789475,0.0274875204225928,19,0.425310750571896,0.844,0.0,0.07152542372881356,5.0,10.0,11.0,159.0,32.0,26.0
sh.601668,中国建筑,4.875148,0.451594,5.27,E48土木工程建筑业,0.08472672222222223,0.04035246886798663,18,0.476266139059997,0.27149999999999996,0.0,0.05151802656546489,3.0,7.0,40.0,111.0,72.0,50.0
sh.601919,中远海控,6.01334,0.985119,14.77,G55水上运输业,0.3093039444444445,0.30284762913822494,18,0.9791263078852226,2.1100000000000003,0.0,0.14285714285714288,15.0,43.0,2.0,2.0,248.0,60.0
sh.601186,中国铁建,4.933755,0.385716,7.75,E48土木工程建筑业,0.05036677777777778,0.026543240811386273,18,0.5269989858890152,0.3,0.0,0.03870967741935484,4.0,3.0,69.0,203.0,114.0,76.0
sh.600023,浙能电力,9.254886,0.898479,5.03,D44电力、热力生产和供应业,0.037442722222222224,0.040338518124092164,18,1.0773393527501398,0.33999999999999997,0.0,0.06759443339960237,42.0,40.0,18.0,236.0,253.0,100.0
sh.601390,中国中铁,5.423424,0.426301,5.45,E48土木工程建筑业,0.058079555555555565,0.030458817763589507,18,0.5244326936085858,0.178,0.0,0.0326605504587156,9.0,4.0,94.0,179.0,109.0,107.0
sh.601318,中国平安,7.67646,1.091702,59.47,J68保险业,0.08043311111111112,0.03518440777638815,18,0.4374368626346437,3.5,0.0,0.05885320329577939,31.0,53.0,27.0,123.0,40.0,111.0
sh.601857,中国石油,11.339661,1.150871,9.8,B07石油和天然气开采业,0.0655585,0.031033244230037837,18,0.47336720989708175,0.6900000000000001,0.0,0.07040816326530612,51.0,58.0,13.0,155.0,69.0,122.0
sz.000651,格力电器,7.083739,1.55409,40.07,C38电气机械和器材制造业,0.1353176111111111,0.07996581039723745,18,0.5909490253384422,3.0,0.0,0.07486897928624907,24.0,91.0,8.0,38.0,160.0,123.0
sh.600027,华电国际,9.02965,1.221265,5.12,D44电力、热力生产和供应业,0.03330983333333334,0.03556127355664569,18,1.06759085825444,0.3,0.0,0.05859375,40.0,70.0,28.0,247.0,252.0,138.0
sh.600018,上港集团,8.849835,0.911115,5.48,G55水上运输业,0.08795194444444444,0.04437635236378018,18,0.504552260260839,0.245,0.0,0.044708029197080286,39.0,41.0,59.0,101.0,96.0,139.0
sh.601298,青岛港,9.919094,1.199108,8.38,G55水上运输业,0.0760698888888889,0.03492729285730386,18,0.4591474151923665,0.4607,0.0,0.05497613365155131,44.0,66.0,36.0,132.0,55.0,146.0
sh.600741,华域汽车,8.830404,0.942048,19.34,C36汽车制造业,0.0690476111111111,0.040044757780056534,18,0.5799586276144542,0.8,0.0,0.04136504653567735,38.0,42.0,66.0,147.0,153.0,146.0
sh.601006,大秦铁路,16.758904,0.670731,5.54,G53铁路运输业,0.056418222222222224,0.027750548426071015,18,0.49187208198028837,0.34924,0.0,0.06303971119133574,102.0,21.0,24.0,187.0,88.0,147.0
sh.601898,中煤能源,10.618654,1.160182,13.77,B06煤炭开采和洗选业,0.0900607894736842,0.04143363547835523,19,0.46006298324158207,0.645,0.0,0.04684095860566449,48.0,60.0,51.0,94.0,58.0,159.0
sh.600585,海螺水泥,13.792875,0.637698,22.91,C30非金属矿物制品业,0.05379527777777778,0.04755573862669011,18,0.8840132552737714,0.95,0.0,0.041466608467917936,76.0,19.0,65.0,193.0,241.0,160.0
sh.600938,中国海油,10.859758,1.703806,28.16,B07石油和天然气开采业,0.1307229375,0.06447385596190004,16,0.4932099690760089,1.94771,0.0,0.06916583806818181,50.0,106.0,15.0,43.0,89.0,171.0
sz.000338,潍柴动力,12.373761,1.562961,16.87,C36汽车制造业,0.07403494444444444,0.04186605880307596,18,0.5654905142056545,1.077,0.0,0.06384113811499703,60.0,93.0,23.0,139.0,145.0,176.0
sh.600219,南山铝业,10.790537,1.060501,4.75,C32有色金属冶炼和压延加工业,0.04855388888888889,0.026061842846874114,18,0.5367611831570123,0.17,0.0,0.03578947368421053,49.0,50.0,78.0,207.0,121.0,177.0
sz.000157,中联重科,15.983306,1.178832,7.95,C35专用设备制造业,0.05094655555555556,0.03088326409566538,18,0.6061894422281048,0.5,0.0,0.06289308176100629,92.0,62.0,25.0,201.0,165.0,179.0
sz.001965,招商公路,13.316699,1.030884,10.14,G54道路运输业,0.05208684210526316,0.026456611805963776,19,0.5079327280486149,0.417,0.0,0.041124260355029585,68.0,46.0,67.0,197.0,99.0,181.0
sh.600019,宝钢股份,16.522501,0.763571,7.16,C31黑色金属冶炼和压延加工业,0.044041000000000004,0.03396173610195485,18,0.7711390772678832,0.33,0.0,0.046089385474860335,99.0,27.0,56.0,223.0,223.0,182.0
sh.601336,新华保险,5.351136,2.04477,65.88,J68保险业,0.10110083333333333,0.061502291686857447,18,0.6083262586380671,3.1999999999999997,0.0,0.048573163327261686,6.0,133.0,45.0,79.0,167.0,184.0
sh.601601,中国太保,6.422749,1.183141,34.95,J68保险业,0.08632677777777778,0.03899518399005575,18,0.45171596802138353,1.08,0.0,0.030901287553648068,19.0,63.0,104.0,105.0,49.0,186.0
sh.600795,国电电力,12.792988,1.549973,5.32,D44电力、热力生产和供应业,0.07266984210526316,0.05714220404517445,19,0.7863262446945084,0.30000000000000004,0.0,0.056390977443609026,64.0,90.0,32.0,140.0,228.0,186.0
sh.600028,中国石化,19.481607,0.845174,5.8,B07石油和天然气开采业,0.05156111111111111,0.02418617123576511,18,0.46907777420943003,0.374,0.0,0.06448275862068965,133.0,34.0,22.0,199.0,66.0,189.0
sh.600332,白云山,14.16443,1.115991,26.02,C27医药制造业,0.08842844444444445,0.02796198539029946,18,0.31621030502087705,1.2000000000000002,0.0,0.046118370484242895,79.0,56.0,55.0,99.0,9.0,190.0
sh.600999,招商证券,11.77226,1.211668,16.39,J67资本市场服务,0.04912066666666667,0.026251765303106984,18,0.5344342225900908,0.597,0.0,0.036424649176327026,54.0,67.0,77.0,205.0,120.0,198.0


统计项,数值
行业分布统计：,
,J66货币金融服务: 3只
,E48土木工程建筑业: 3只
,G55水上运输业: 3只
,D44电力、热力生产和供应业: 3只
,J68保险业: 3只
,B07石油和天然气开采业: 3只
,C38电气机械和器材制造业: 1只
,C36汽车制造业: 2只
,G53铁路运输业: 1只
,B06煤炭开采和洗选业: 1只
,C30非金属矿物制品业: 1只
,C32有色金属冶炼和压延加工业: 1只
,C35专用设备制造业: 1只
,G54道路运输业: 1只
,C31黑色金属冶炼和压延加工业: 1只
,C27医药制造业: 1只
,J67资本市场服务: 1只
统计信息：,
,目标日期：2025-11-25
,总股票数量：273
,筛选后股票数量：30
,涉及行业数量：17
,有分红的股票数量：268
,平均分红收益率：0.028
,最高分红收益率：0.383
,分红数据年份范围：2024年-2025年
,ROE数据年份范围：2021年-2025年（共5年）
,有ROE数据的股票数量：267
,平均ROE均值：8.22%
,平均ROE波动率：57.95%
前100只股票估值统计：,
,前100只股票估值统计：
,综合PE均值：11.05
,综合PB均值：1.193
,综合PE*PB均值：14.16
,综合PE中位数：11.10
,综合PB中位数：1.107
,综合PE*PB中位数：12.83
筛选后30只股票估值统计：,
,筛选后30只股票估值统计：
,综合PE均值：9.99
,综合PB均值：1.004
,综合PE*PB均值：10.34
,综合PE中位数：9.59
,综合PB中位数：1.046
,综合PE*PB中位数：11.02
