code,codeName,peTTM,pbMRQ,close,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.600015,华夏银行,4.109612,0.361552,7.01,J66货币金融服务,0.04590305555555555,0.024155019606144034,18,0.5262181202057388,0.505,0.0,0.07203994293865906,1.0,2.0,13.0,216.0,109.0,16.0
sh.601818,光大银行,5.278114,0.427668,3.6,J66货币金融服务,0.05373622222222222,0.02450689649527384,18,0.45605916236402627,0.29400000000000004,0.0,0.08166666666666668,6.0,4.0,6.0,193.0,51.0,16.0
sh.600016,民生银行,5.986328,0.323349,4.15,J66货币金融服务,0.042804611111111106,0.015324651625015968,18,0.3580140369745828,0.328,0.0,0.07903614457831325,13.0,1.0,8.0,227.0,13.0,22.0
sh.601919,中远海控,6.155836,1.008463,15.12,G55水上运输业,0.3093039444444445,0.30284762913822494,18,0.9791263078852226,2.11,0.0,0.13955026455026454,15.0,46.0,2.0,3.0,248.0,63.0
sh.601668,中国建筑,4.847395,0.449023,5.24,E48土木工程建筑业,0.08472672222222223,0.04035246886798663,18,0.476266139059997,0.27149999999999996,0.0,0.05181297709923663,3.0,7.0,54.0,110.0,71.0,64.0
sh.601390,中国中铁,5.453292,0.428649,5.48,E48土木工程建筑业,0.05807955555555555,0.030458817763589507,18,0.5244326936085859,0.26,0.0,0.04744525547445255,8.0,5.0,63.0,179.0,106.0,76.0
sh.601186,中国铁建,4.946488,0.386712,7.77,E48土木工程建筑业,0.050366777777777774,0.026543240811386273,18,0.5269989858890152,0.3,0.0,0.03861003861003861,4.0,3.0,84.0,202.0,110.0,91.0
sh.600219,南山铝业,10.926839,1.073896,4.81,C32有色金属冶炼和压延加工业,0.04855388888888888,0.026061842846874114,18,0.5367611831570124,0.4683999999999999,0.0,0.09738045738045738,49.0,50.0,4.0,207.0,118.0,103.0
sh.600023,浙能电力,9.328483,0.905624,5.07,D44电力、热力生产和供应业,0.037442722222222224,0.040338518124092164,18,1.0773393527501398,0.33999999999999997,0.0,0.0670611439842209,42.0,40.0,25.0,236.0,254.0,107.0
sz.000651,格力电器,7.22163,1.584342,40.85,C38电气机械和器材制造业,0.1353176111111111,0.07996581039723745,18,0.5909490253384422,4.0,0.0,0.09791921664626682,25.0,92.0,3.0,39.0,157.0,120.0
sh.601318,中国平安,7.568032,1.076282,58.63,J68保险业,0.08043311111111112,0.03518440777638815,18,0.4374368626346437,3.5,0.0,0.05969640115981579,30.0,51.0,40.0,122.0,35.0,121.0
sh.601857,中国石油,11.524799,1.16966,9.96,B07石油和天然气开采业,0.0655585,0.031033244230037837,18,0.47336720989708175,0.6900000000000001,0.0,0.06927710843373494,51.0,62.0,21.0,155.0,67.0,134.0
sh.601898,中煤能源,10.526117,1.150071,13.65,B06煤炭开采和洗选业,0.09057888888888889,0.042571482201239574,18,0.46999342477540285,0.758,0.0,0.05553113553113553,45.0,59.0,47.0,92.0,63.0,151.0
sh.601006,大秦铁路,16.728653,0.66952,5.53,G53铁路运输业,0.056418222222222224,0.027750548426071015,18,0.49187208198028837,0.34924,0.0,0.06315370705244122,99.0,21.0,32.0,186.0,83.0,152.0
sh.600018,上港集团,8.946731,0.921091,5.54,G55水上运输业,0.08795194444444444,0.04437635236378018,18,0.504552260260839,0.245,0.0,0.04422382671480144,39.0,41.0,74.0,100.0,95.0,154.0
sh.600027,华电国际,9.188375,1.242732,5.21,D44电力、热力生产和供应业,0.03330983333333334,0.03556127355664569,18,1.06759085825444,0.3,0.0,0.05758157389635316,40.0,71.0,44.0,247.0,252.0,155.0
sh.601298,青岛港,10.03746,1.213417,8.48,G55水上运输业,0.0760698888888889,0.03492729285730386,18,0.4591474151923665,0.46070000000000005,0.0,0.054327830188679246,44.0,69.0,48.0,134.0,56.0,161.0
sh.600741,华域汽车,8.935419,0.953252,19.57,C36汽车制造业,0.06904761111111112,0.040044757780056534,18,0.579958627614454,0.8,0.0,0.040878896269800714,38.0,42.0,81.0,148.0,152.0,161.0
sh.600585,海螺水泥,13.696548,0.633245,22.75,C30非金属矿物制品业,0.05379527777777778,0.04755573862669011,18,0.8840132552737714,0.95,0.0,0.041758241758241756,72.0,18.0,78.0,192.0,241.0,168.0
sh.600938,中国海油,10.983165,1.723167,28.48,B07石油和天然气开采业,0.1307229375,0.06447385596190004,16,0.4932099690760089,1.9477100000000003,0.0,0.06838869382022472,50.0,106.0,22.0,44.0,84.0,178.0
sz.001965,招商公路,12.85705,0.995301,9.79,G54道路运输业,0.05187094444444445,0.02720640096930526,18,0.5245017468005473,0.417,0.0,0.042594484167517876,63.0,44.0,77.0,196.0,107.0,184.0
sz.000338,潍柴动力,12.7405,1.609285,17.37,C36汽车制造业,0.07403494444444446,0.04186605880307596,18,0.5654905142056544,1.077,0.0,0.0620034542314335,62.0,96.0,34.0,138.0,140.0,192.0
sz.000157,中联重科,16.244668,1.198109,8.08,C35专用设备制造业,0.05094655555555556,0.03088326409566538,18,0.6061894422281048,0.5,0.0,0.06188118811881188,92.0,65.0,35.0,200.0,163.0,192.0
sh.601319,中国人保,6.820904,1.158857,8.23,J68保险业,0.0875795,0.03459641514623427,18,0.3950286898901486,0.255,0.0,0.030984204131227218,23.0,60.0,111.0,101.0,23.0,194.0
sh.600019,宝钢股份,16.70711,0.772102,7.24,C31黑色金属冶炼和压延加工业,0.044041000000000004,0.03396173610195485,18,0.7711390772678832,0.33,0.0,0.04558011049723757,98.0,28.0,69.0,223.0,221.0,195.0
sh.601601,中国太保,6.463179,1.190589,35.17,J68保险业,0.08632677777777778,0.03899518399005575,18,0.45171596802138353,1.08,0.0,0.030707989764003414,19.0,63.0,114.0,103.0,47.0,196.0
sh.600332,白云山,14.093663,1.110415,25.89,C27医药制造业,0.08842844444444443,0.02796198539029946,18,0.3162103050208771,1.2000000000000002,0.0,0.046349942062572425,76.0,55.0,65.0,98.0,9.0,196.0
sh.600028,中国石化,19.649552,0.85246,5.85,B07石油和天然气开采业,0.05156111111111111,0.02418617123576511,18,0.46907777420943003,0.374,0.0,0.06393162393162394,133.0,33.0,31.0,197.0,62.0,197.0
sh.601766,中国中车,13.545465,1.205142,7.13,C37铁路、船舶、航空航天和其他运输设备制造业,0.03587694444444445,0.025183930610544733,18,0.7019530509222189,0.32000000000000006,0.0,0.04488078541374475,67.0,67.0,72.0,242.0,207.0,206.0
sh.600999,招商证券,11.779442,1.212407,16.4,J67资本市场服务,0.04912066666666667,0.026251765303106984,18,0.5344342225900908,0.597,0.0,0.03640243902439025,54.0,68.0,90.0,205.0,116.0,212.0


统计项,数值
行业分布统计：,
,J66货币金融服务: 3只
,G55水上运输业: 3只
,E48土木工程建筑业: 3只
,C32有色金属冶炼和压延加工业: 1只
,D44电力、热力生产和供应业: 2只
,C38电气机械和器材制造业: 1只
,J68保险业: 3只
,B07石油和天然气开采业: 3只
,B06煤炭开采和洗选业: 1只
,G53铁路运输业: 1只
,C36汽车制造业: 2只
,C30非金属矿物制品业: 1只
,G54道路运输业: 1只
,C35专用设备制造业: 1只
,C31黑色金属冶炼和压延加工业: 1只
,C27医药制造业: 1只
,C37铁路、船舶、航空航天和其他运输设备制造业: 1只
,J67资本市场服务: 1只
统计信息：,
,目标日期：2025-12-01
,总股票数量：273
,筛选后股票数量：30
,涉及行业数量：18
,有分红的股票数量：269
,平均分红收益率：0.031
,最高分红收益率：0.382
,分红数据年份范围：2024年-2025年
,ROE数据年份范围：2021年-2025年（共5年）
,有ROE数据的股票数量：267
,平均ROE均值：8.19%
,平均ROE波动率：58.72%
前100只股票估值统计：,
,前100只股票估值统计：
,综合PE均值：11.19
,综合PB均值：1.230
,综合PE*PB均值：15.00
,综合PE中位数：11.25
,综合PB中位数：1.116
,综合PE*PB中位数：12.85
筛选后30只股票估值统计：,
,筛选后30只股票估值统计：
,综合PE均值：10.11
,综合PB均值：0.967
,综合PE*PB均值：10.24
,综合PE中位数：9.68
,综合PB中位数：1.041
,综合PE*PB中位数：11.31
