code,codeName,peTTM,pbMRQ,close,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.601818,光大银行,5.190145,0.42054,3.54,J66货币金融服务,0.05373622222222222,0.02450689649527384,18,0.45605916236402627,0.29400000000000004,0.0,0.08305084745762713,6.0,4.0,6.0,193.0,51.0,16.0
sh.600015,华夏银行,4.045125,0.355878,6.9,J66货币金融服务,0.04590305555555555,0.024155019606144034,18,0.5262181202057388,0.505,0.0,0.07318840579710145,1.0,2.0,15.0,216.0,109.0,18.0
sh.600016,民生银行,5.81323,0.313999,4.03,J66货币金融服务,0.042804611111111106,0.015324651625015968,18,0.3580140369745828,0.328,0.0,0.08138957816377171,12.0,1.0,7.0,227.0,13.0,20.0
sh.601919,中远海控,6.119195,1.002461,15.03,G55水上运输业,0.3093039444444445,0.30284762913822494,18,0.9791263078852226,2.11,0.0,0.14038589487691283,16.0,45.0,2.0,3.0,248.0,63.0
sh.601668,中国建筑,4.893649,0.453308,5.29,E48土木工程建筑业,0.08472672222222223,0.04035246886798663,18,0.476266139059997,0.27149999999999996,0.0,0.05132325141776937,3.0,7.0,55.0,110.0,71.0,65.0
sh.601390,中国中铁,5.473194,0.430213,5.5,E48土木工程建筑业,0.05807955555555555,0.030458817763589507,18,0.5244326936085859,0.26,0.0,0.04727272727272727,9.0,6.0,63.0,179.0,106.0,78.0
sh.601186,中国铁建,4.95922,0.387707,7.79,E48土木工程建筑业,0.050366777777777774,0.026543240811386273,18,0.5269989858890152,0.3,0.0,0.03851091142490372,4.0,3.0,85.0,202.0,110.0,92.0
sh.600219,南山铝业,11.154008,1.096223,4.91,C32有色金属冶炼和压延加工业,0.04855388888888888,0.026061842846874114,18,0.5367611831570124,0.4683999999999999,0.0,0.09539714867617106,49.0,54.0,4.0,207.0,118.0,107.0
sh.600023,浙能电力,9.512477,0.923487,5.17,D44电力、热力生产和供应业,0.037442722222222224,0.040338518124092164,18,1.0773393527501398,0.33999999999999997,0.0,0.06576402321083172,42.0,40.0,28.0,236.0,254.0,110.0
sh.601318,中国平安,7.557705,1.074813,58.55,J68保险业,0.08043311111111112,0.03518440777638815,18,0.4374368626346437,3.5,0.0,0.059777967549103334,30.0,50.0,41.0,122.0,35.0,121.0
sz.000651,格力电器,7.237541,1.587833,40.94,C38电气机械和器材制造业,0.1353176111111111,0.07996581039723745,18,0.5909490253384422,4.0,0.0,0.09770395701025893,26.0,94.0,3.0,39.0,157.0,123.0
sh.601857,中国石油,11.582654,1.175532,10.01,B07石油和天然气开采业,0.0655585,0.031033244230037837,18,0.47336720989708175,0.6900000000000001,0.0,0.06893106893106894,52.0,62.0,22.0,155.0,67.0,136.0
sh.601006,大秦铁路,16.879907,0.675574,5.58,G53铁路运输业,0.056418222222222224,0.027750548426071015,18,0.49187208198028837,0.34924,0.0,0.06258781362007168,100.0,22.0,33.0,186.0,83.0,155.0
sh.600027,华电国际,9.258919,1.252273,5.25,D44电力、热力生产和供应业,0.03330983333333334,0.03556127355664569,18,1.06759085825444,0.3,0.0,0.05714285714285714,41.0,71.0,44.0,247.0,252.0,156.0
sh.601898,中煤能源,10.734326,1.17282,13.92,B06煤炭开采和洗选业,0.09057888888888889,0.042571482201239574,18,0.46999342477540285,0.758,0.0,0.05445402298850575,48.0,60.0,48.0,92.0,63.0,156.0
sh.600018,上港集团,9.188971,0.94603,5.69,G55水上运输业,0.08795194444444444,0.04437635236378018,18,0.504552260260839,0.245,0.0,0.043057996485061506,40.0,41.0,76.0,100.0,95.0,157.0
sh.601298,青岛港,10.309703,1.246328,8.71,G55水上运输业,0.0760698888888889,0.03492729285730386,18,0.4591474151923665,0.46070000000000005,0.0,0.052893226176808264,44.0,67.0,50.0,134.0,56.0,161.0
sh.600741,华域汽车,9.108922,0.971761,19.95,C36汽车制造业,0.06904761111111112,0.040044757780056534,18,0.579958627614454,0.8,0.0,0.04010025062656642,39.0,42.0,81.0,148.0,152.0,162.0
sh.600585,海螺水泥,13.666445,0.631853,22.7,C30非金属矿物制品业,0.05379527777777778,0.04755573862669011,18,0.8840132552737714,0.95,0.0,0.04185022026431718,72.0,19.0,79.0,192.0,241.0,170.0
sh.600938,中国海油,11.214552,1.75947,29.08,B07石油和天然气开采业,0.1307229375,0.06447385596190004,16,0.4932099690760089,1.9477100000000003,0.0,0.06697764786795049,50.0,114.0,26.0,44.0,84.0,190.0
sz.000338,潍柴动力,12.718496,1.606505,17.34,C36汽车制造业,0.07403494444444446,0.04186605880307596,18,0.5654905142056544,1.077,0.0,0.06211072664359862,62.0,96.0,34.0,138.0,140.0,192.0
sz.001965,招商公路,13.237902,1.024784,10.08,G54道路运输业,0.05187094444444445,0.02720640096930526,18,0.5245017468005473,0.417,0.0,0.04136904761904762,66.0,47.0,80.0,196.0,107.0,193.0
sh.601336,新华保险,5.206555,1.989523,64.1,J68保险业,0.10110083333333335,0.061502291686857447,18,0.608326258638067,3.1999999999999997,0.0,0.0499219968798752,7.0,130.0,58.0,78.0,166.0,195.0
sh.601601,中国太保,6.468692,1.191604,35.2,J68保险业,0.08632677777777778,0.03899518399005575,18,0.45171596802138353,1.08,0.0,0.03068181818181818,19.0,64.0,113.0,103.0,47.0,196.0
sh.600019,宝钢股份,16.776339,0.775302,7.27,C31黑色金属冶炼和压延加工业,0.044041000000000004,0.03396173610195485,18,0.7711390772678832,0.33,0.0,0.0453920220082531,96.0,29.0,72.0,223.0,221.0,197.0
sh.600332,白云山,14.077332,1.109128,25.86,C27医药制造业,0.08842844444444443,0.02796198539029946,18,0.3162103050208771,1.2000000000000002,0.0,0.046403712296983764,75.0,56.0,67.0,98.0,9.0,198.0
sh.601766,中国中车,13.355487,1.18824,7.03,C37铁路、船舶、航空航天和其他运输设备制造业,0.03587694444444445,0.025183930610544733,18,0.7019530509222189,0.32000000000000006,0.0,0.045519203413940265,67.0,63.0,71.0,242.0,207.0,201.0
sh.600028,中国石化,20.05262,0.869947,5.97,B07石油和天然气开采业,0.05156111111111111,0.02418617123576511,18,0.46907777420943003,0.374,0.0,0.06264656616415411,137.0,36.0,32.0,197.0,62.0,205.0
sh.600050,中国联通,17.707636,0.974682,5.36,I63电信、广播电视和卫星传输服务,0.034438833333333335,0.01489172821025939,18,0.4324109375634886,0.2692,0.0,0.05022388059701492,111.0,43.0,57.0,245.0,34.0,211.0
sh.600999,招商证券,11.686069,1.202797,16.27,J67资本市场服务,0.04912066666666667,0.026251765303106984,18,0.5344342225900908,0.597,0.0,0.03669330055316533,53.0,65.0,93.0,205.0,116.0,211.0


统计项,数值
行业分布统计：,
,J66货币金融服务: 3只
,G55水上运输业: 3只
,E48土木工程建筑业: 3只
,C32有色金属冶炼和压延加工业: 1只
,D44电力、热力生产和供应业: 2只
,J68保险业: 3只
,C38电气机械和器材制造业: 1只
,B07石油和天然气开采业: 3只
,G53铁路运输业: 1只
,B06煤炭开采和洗选业: 1只
,C36汽车制造业: 2只
,C30非金属矿物制品业: 1只
,G54道路运输业: 1只
,C31黑色金属冶炼和压延加工业: 1只
,C27医药制造业: 1只
,C37铁路、船舶、航空航天和其他运输设备制造业: 1只
,I63电信、广播电视和卫星传输服务: 1只
,J67资本市场服务: 1只
统计信息：,
,目标日期：2025-12-04
,总股票数量：273
,筛选后股票数量：30
,涉及行业数量：18
,有分红的股票数量：269
,平均分红收益率：0.031
,最高分红收益率：0.383
,分红数据年份范围：2024年-2025年
,ROE数据年份范围：2021年-2025年（共5年）
,有ROE数据的股票数量：267
,平均ROE均值：8.19%
,平均ROE波动率：58.72%
前100只股票估值统计：,
,前100只股票估值统计：
,综合PE均值：11.15
,综合PB均值：1.235
,综合PE*PB均值：15.07
,综合PE中位数：11.38
,综合PB中位数：1.106
,综合PE*PB中位数：13.29
筛选后30只股票估值统计：,
,筛选后30只股票估值统计：
,综合PE均值：10.17
,综合PB均值：0.994
,综合PE*PB均值：10.40
,综合PE中位数：9.91
,综合PB中位数：1.014
,综合PE*PB中位数：11.45
