code,codeName,peTTM,pbMRQ,close,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.601818,光大银行,5.190145,0.42054,3.54,J66货币金融服务,0.05418257894736842,0.023895761744887334,19.0,0.4410229673286513,0.29400000000000004,0.0,0.08305084745762713,8.0,5.0,10.0,206.0,48.0,23.0
sh.600016,民生银行,5.81323,0.313999,4.03,J66货币金融服务,0.042811052631578944,0.0148929108731253,19.0,0.34787537230840626,0.328,0.0,0.08138957816377171,15.0,1.0,12.0,243.0,14.0,28.0
sh.600015,华夏银行,4.045125,0.355878,6.9,J66货币金融服务,0.0460781052631579,0.023486857114126937,19.0,0.5097183788263541,0.505,0.0,0.07318840579710145,1.0,3.0,26.0,231.0,106.0,30.0
sh.601668,中国建筑,4.893649,0.453308,5.29,E48土木工程建筑业,0.08448315789473684,0.039229919356224864,19.0,0.4643519529076318,0.27149999999999996,0.0,0.05132325141776937,5.0,8.0,94.0,123.0,72.0,107.0
sh.601919,中远海控,6.119195,1.002461,15.03,G55水上运输业,0.2991275789473684,0.29763891695089506,19.0,0.9950233208127717,2.1100000000000003,0.0,0.14038589487691286,20.0,95.0,2.0,4.0,267.0,117.0
sh.601390,中国中铁,5.473194,0.430213,5.5,E48土木工程建筑业,0.05756005263157895,0.02968713988033967,19.0,0.5157594290324281,0.26,0.0,0.04727272727272727,11.0,7.0,109.0,193.0,110.0,127.0
sh.600820,隧道股份,7.900974,0.647542,6.41,E48土木工程建筑业,0.0,0.0,,,0.4,0.0,0.062402496099843996,45.0,30.0,58.0,284.0,,133.0
sh.600153,建发股份,13.741547,0.502392,9.65,L72商务服务业,0.0,0.0,,,0.7,0.0,0.07253886010362694,143.0,15.0,28.0,284.0,,186.0
sh.600023,浙能电力,9.512477,0.923487,5.17,D44电力、热力生产和供应业,0.039891421052631576,0.04062908634807743,19.0,1.0184918279665345,0.33999999999999997,0.0,0.06576402321083172,62.0,77.0,48.0,248.0,268.0,187.0
sh.600177,雅戈尔,13.41942,0.816362,7.56,C18纺织服装、服饰业,0.0,0.0,,,0.66,0.0,0.08730158730158731,131.0,61.0,7.0,284.0,,199.0
sh.600219,南山铝业,11.154008,1.096223,4.91,C32有色金属冶炼和压延加工业,0.04987884210526316,0.02597767785846396,19.0,0.5208155755428578,0.46840000000000004,0.0,0.09539714867617108,83.0,118.0,6.0,220.0,115.0,207.0
sh.601318,中国平安,7.557705,1.074813,58.55,J68保险业,0.08350257894736841,0.036717556939298714,19.0,0.4397176398880057,3.5,0.0,0.059777967549103334,39.0,111.0,67.0,127.0,46.0,217.0
sh.600582,天地科技,8.823755,0.963805,5.94,C35专用设备制造业,0.0,0.0,,,0.317,0.0,0.05336700336700336,52.0,87.0,84.0,284.0,,223.0
sh.600098,广州发展,10.454443,0.875756,6.87,D44电力、热力生产和供应业,0.0,0.0,,,0.37,0.0,0.05385735080058224,76.0,73.0,82.0,284.0,,231.0
sh.600704,物产中大,7.432601,0.690084,5.46,F51批发业,0.0,0.0,,,0.21000000000000002,0.0,0.038461538461538464,37.0,35.0,161.0,284.0,,233.0
sz.000651,格力电器,7.237541,1.587833,40.94,C38电气机械和器材制造业,0.13621110526315788,0.0778103298011651,19.0,0.5712480612416783,4.0,0.0,0.09770395701025893,33.0,225.0,5.0,38.0,159.0,263.0
sh.600008,首创环保,13.037664,1.064839,3.03,D46水的生产和供应业,0.0,0.0,,,0.21,0.0,0.06930693069306931,119.0,109.0,35.0,284.0,,263.0
sh.601857,中国石油,11.582654,1.175532,10.01,B07石油和天然气开采业,0.06643242105263159,0.03039851659815691,19.0,0.45758556012994706,0.6900000000000001,0.0,0.06893106893106894,90.0,141.0,37.0,166.0,61.0,268.0
sh.600018,上港集团,9.188971,0.94603,5.69,G55水上运输业,0.087664,0.043144323007526464,19.0,0.49215553713641247,0.245,0.0,0.043057996485061506,58.0,82.0,136.0,115.0,96.0,276.0
sz.000623,吉林敖东,8.970005,0.753493,19.26,C27医药制造业,0.0,0.0,,,0.7,0.0,0.03634475597092419,54.0,48.0,176.0,284.0,,278.0
sh.601598,中国外运,12.277862,1.164156,6.45,G58多式联运和运输代理业,0.0,0.0,,,0.43499999999999994,0.0,0.06744186046511627,102.0,137.0,42.0,284.0,,281.0
sh.601006,大秦铁路,16.879907,0.675574,5.58,G53铁路运输业,0.05548794736842105,0.027271831836517664,19.0,0.49149109184814493,0.34924,0.0,0.06258781362007168,198.0,33.0,57.0,203.0,95.0,288.0
sh.600027,华电国际,9.258919,1.252273,5.25,D44电力、热力生产和供应业,0.0365021052631579,0.03725546658902666,19.0,1.0206388459086808,0.3,0.0,0.05714285714285714,60.0,159.0,76.0,259.0,269.0,295.0
sh.600741,华域汽车,9.108922,0.971761,19.95,C36汽车制造业,0.0693058947368421,0.038932790809426,19.0,0.5617529498357352,0.8,0.0,0.04010025062656642,57.0,91.0,149.0,161.0,152.0,297.0
sh.601898,中煤能源,10.734326,1.17282,13.92,B06煤炭开采和洗选业,0.0900607894736842,0.04143363547835523,19.0,0.46006298324158207,0.758,0.0,0.05445402298850575,80.0,139.0,80.0,109.0,66.0,299.0
sh.600998,九州通,9.192295,0.967462,5.08,F51批发业,0.0,0.0,,,0.2,0.0,0.03937007874015748,59.0,88.0,153.0,284.0,,300.0
sh.600585,海螺水泥,13.666445,0.631853,22.7,C30非金属矿物制品业,0.05271810526315789,0.04645376644925186,19.0,0.8811729142647341,0.95,0.0,0.04185022026431718,138.0,29.0,141.0,210.0,258.0,308.0
sh.601298,青岛港,10.309703,1.246328,8.71,G55水上运输业,0.07707521052631579,0.03422492435926865,19.0,0.44404581091067197,0.4607,0.0,0.052893226176808264,73.0,155.0,86.0,142.0,51.0,314.0
sh.601555,东吴证券,12.717721,1.043184,8.88,J67资本市场服务,0.0,0.0,,,0.45,0.0,0.05067567567567567,114.0,106.0,97.0,284.0,,317.0
sh.600282,南钢股份,12.198586,1.214187,5.31,C31黑色金属冶炼和压延加工业,0.0,0.0,,,0.3036,0.0,0.057175141242937856,98.0,150.0,75.0,284.0,,323.0


统计项,数值
行业分布统计：,
,J66货币金融服务: 3只
,E48土木工程建筑业: 3只
,G55水上运输业: 3只
,L72商务服务业: 1只
,D44电力、热力生产和供应业: 3只
,C18纺织服装、服饰业: 1只
,C32有色金属冶炼和压延加工业: 1只
,J68保险业: 1只
,C35专用设备制造业: 1只
,F51批发业: 2只
,C38电气机械和器材制造业: 1只
,D46水的生产和供应业: 1只
,B07石油和天然气开采业: 1只
,C27医药制造业: 1只
,G58多式联运和运输代理业: 1只
,G53铁路运输业: 1只
,C36汽车制造业: 1只
,B06煤炭开采和洗选业: 1只
,C30非金属矿物制品业: 1只
,J67资本市场服务: 1只
,C31黑色金属冶炼和压延加工业: 1只
统计信息：,
,目标日期：2025-12-04
,总股票数量：717
,筛选后股票数量：30
,涉及行业数量：21
,有分红的股票数量：684
,平均分红收益率：0.025
,最高分红收益率：0.383
,分红数据年份范围：2024年-2025年
,ROE数据年份范围：2021年-2025年（共5年）
,有ROE数据的股票数量：283
,平均ROE均值：3.40%
,平均ROE波动率：55.44%
前100只股票估值统计：,
,前100只股票估值统计：
,综合PE均值：9.75
,综合PB均值：0.936
,综合PE*PB均值：9.69
,综合PE中位数：9.15
,综合PB中位数：0.935
,综合PE*PB中位数：8.87
筛选后30只股票估值统计：,
,筛选后30只股票估值统计：
,综合PE均值：9.60
,综合PB均值：0.881
,综合PE*PB均值：8.76
,综合PE中位数：9.23
,综合PB中位数：0.955
,综合PE*PB中位数：8.82
