code,codeName,peTTM,pbMRQ,close,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.601818,光大银行,5.160822,0.418164,3.52,J66货币金融服务,0.05373622222222222,0.02450689649527384,18,0.45605916236402627,0.29400000000000004,0.0,0.08352272727272729,5.0,4.0,5.0,193.0,51.0,14.0
sh.600015,华夏银行,4.015812,0.353299,6.85,J66货币金融服务,0.04590305555555555,0.024155019606144034,18,0.5262181202057388,0.505,0.0,0.07372262773722628,1.0,2.0,14.0,216.0,109.0,17.0
sh.600016,民生银行,5.78438,0.312441,4.01,J66货币金融服务,0.042804611111111106,0.015324651625015968,18,0.3580140369745828,0.328,0.0,0.08179551122194514,12.0,1.0,7.0,227.0,13.0,20.0
sh.601919,中远海控,6.098839,0.999126,14.98,G55水上运输业,0.3093039444444445,0.30284762913822494,18,0.9791263078852226,2.11,0.0,0.14085447263017356,16.0,44.0,2.0,3.0,248.0,62.0
sh.601668,中国建筑,4.930652,0.456736,5.33,E48土木工程建筑业,0.08472672222222223,0.04035246886798663,18,0.476266139059997,0.27149999999999996,0.0,0.05093808630393996,3.0,7.0,56.0,110.0,71.0,66.0
sh.601390,中国中铁,5.493097,0.431777,5.52,E48土木工程建筑业,0.05807955555555555,0.030458817763589507,18,0.5244326936085859,0.26,0.0,0.04710144927536233,9.0,6.0,65.0,179.0,106.0,80.0
sh.601186,中国铁建,4.965586,0.388205,7.8,E48土木工程建筑业,0.050366777777777774,0.026543240811386273,18,0.5269989858890152,0.3,0.0,0.038461538461538464,4.0,3.0,86.0,202.0,110.0,93.0
sh.600023,浙能电力,9.494077,0.921701,5.16,D44电力、热力生产和供应业,0.037442722222222224,0.040338518124092164,18,1.0773393527501398,0.33999999999999997,0.0,0.06589147286821705,43.0,40.0,29.0,236.0,254.0,112.0
sh.600219,南山铝业,12.108119,1.189993,5.33,C32有色金属冶炼和压延加工业,0.04855388888888888,0.026061842846874114,18,0.5367611831570124,0.4683999999999999,0.0,0.08787992495309567,55.0,60.0,4.0,207.0,118.0,119.0
sz.000651,格力电器,7.225166,1.585118,40.87,C38电气机械和器材制造业,0.1353176111111111,0.07996581039723745,18,0.5909490253384422,4.0,0.0,0.09787129924149744,25.0,92.0,3.0,39.0,157.0,120.0
sh.601857,中国石油,11.455372,1.162614,9.9,B07石油和天然气开采业,0.0655585,0.031033244230037837,18,0.47336720989708175,0.6900000000000001,0.0,0.0696969696969697,50.0,58.0,21.0,155.0,67.0,129.0
sh.601318,中国平安,8.001745,1.137962,61.99,J68保险业,0.08043311111111112,0.03518440777638815,18,0.4374368626346437,3.5,0.0,0.0564607194708824,35.0,55.0,45.0,122.0,35.0,135.0
sh.601006,大秦铁路,16.819405,0.673152,5.56,G53铁路运输业,0.056418222222222224,0.027750548426071015,18,0.49187208198028837,0.34924,0.0,0.06281294964028777,97.0,22.0,32.0,186.0,83.0,151.0
sh.601898,中煤能源,10.549251,1.152599,13.68,B06煤炭开采和洗选业,0.09057888888888889,0.042571482201239574,18,0.46999342477540285,0.758,0.0,0.0554093567251462,46.0,57.0,49.0,92.0,63.0,152.0
sh.600027,华电国际,9.311827,1.259429,5.28,D44电力、热力生产和供应业,0.03330983333333334,0.03556127355664569,18,1.06759085825444,0.3,0.0,0.056818181818181816,41.0,68.0,44.0,247.0,252.0,153.0
sh.600018,上港集团,9.124374,0.93938,5.65,G55水上运输业,0.08795194444444444,0.04437635236378018,18,0.504552260260839,0.245,0.0,0.04336283185840708,38.0,41.0,75.0,100.0,95.0,154.0
sh.601298,青岛港,10.226846,1.236312,8.64,G55水上运输业,0.0760698888888889,0.03492729285730386,18,0.4591474151923665,0.46070000000000005,0.0,0.05332175925925926,44.0,66.0,50.0,134.0,56.0,160.0
sh.600741,华域汽车,9.131751,0.974197,20.0,C36汽车制造业,0.06904761111111112,0.040044757780056534,18,0.579958627614454,0.8,0.0,0.04,39.0,43.0,81.0,148.0,152.0,163.0
sh.600585,海螺水泥,13.72063,0.634358,22.79,C30非金属矿物制品业,0.05379527777777778,0.04755573862669011,18,0.8840132552737714,0.95,0.0,0.04168494953927161,71.0,18.0,80.0,192.0,241.0,169.0
sh.600938,中国海油,11.160561,1.750999,28.94,B07石油和天然气开采业,0.1307229375,0.06447385596190004,16,0.4932099690760089,1.9477100000000003,0.0,0.0673016586040083,49.0,112.0,26.0,44.0,84.0,187.0
sz.001965,招商公路,13.093441,1.013601,9.97,G54道路运输业,0.05187094444444445,0.02720640096930526,18,0.5245017468005473,0.417,0.0,0.04182547642928786,63.0,47.0,79.0,196.0,107.0,189.0
sh.600332,白云山,14.120881,1.112559,25.94,C27医药制造业,0.08842844444444443,0.02796198539029946,18,0.3162103050208771,1.2000000000000002,0.0,0.04626060138781805,76.0,53.0,68.0,98.0,9.0,197.0
sz.000338,潍柴动力,12.982548,1.639858,17.7,C36汽车制造业,0.07403494444444446,0.04186605880307596,18,0.5654905142056544,1.077,0.0,0.06084745762711864,62.0,99.0,36.0,138.0,140.0,197.0
sh.600019,宝钢股份,16.914796,0.7817,7.33,C31黑色金属冶炼和压延加工业,0.044041000000000004,0.03396173610195485,18,0.7711390772678832,0.33,0.0,0.045020463847203276,98.0,30.0,71.0,223.0,221.0,199.0
sh.601336,新华保险,5.444545,2.080463,67.03,J68保险业,0.10110083333333335,0.061502291686857447,18,0.608326258638067,3.1999999999999997,0.0,0.0477398179919439,8.0,131.0,63.0,78.0,166.0,202.0
sh.601766,中国中车,13.507469,1.201762,7.11,C37铁路、船舶、航空航天和其他运输设备制造业,0.03587694444444445,0.025183930610544733,18,0.7019530509222189,0.32000000000000006,0.0,0.04500703234880451,68.0,62.0,72.0,242.0,207.0,202.0
sh.600028,中国石化,20.019031,0.868489,5.96,B07石油和天然气开采业,0.05156111111111111,0.02418617123576511,18,0.46907777420943003,0.374,0.0,0.06275167785234899,138.0,36.0,33.0,197.0,62.0,207.0
sh.600050,中国联通,17.674599,0.972864,5.35,I63电信、广播电视和卫星传输服务,0.034438833333333335,0.01489172821025939,18,0.4324109375634886,0.2692,0.0,0.0503177570093458,108.0,42.0,57.0,245.0,34.0,207.0
sh.601319,中国人保,7.251873,1.232078,8.75,J68保险业,0.0875795,0.03459641514623427,18,0.3950286898901486,0.255,0.0,0.029142857142857144,26.0,65.0,119.0,101.0,23.0,210.0
sh.600999,招商证券,11.865633,1.221279,16.52,J67资本市场服务,0.04912066666666667,0.026251765303106984,18,0.5344342225900908,0.597,0.0,0.036138014527845035,53.0,64.0,95.0,205.0,116.0,212.0


统计项,数值
行业分布统计：,
,J66货币金融服务: 3只
,G55水上运输业: 3只
,E48土木工程建筑业: 3只
,D44电力、热力生产和供应业: 2只
,C32有色金属冶炼和压延加工业: 1只
,C38电气机械和器材制造业: 1只
,B07石油和天然气开采业: 3只
,J68保险业: 3只
,G53铁路运输业: 1只
,B06煤炭开采和洗选业: 1只
,C36汽车制造业: 2只
,C30非金属矿物制品业: 1只
,G54道路运输业: 1只
,C27医药制造业: 1只
,C31黑色金属冶炼和压延加工业: 1只
,C37铁路、船舶、航空航天和其他运输设备制造业: 1只
,I63电信、广播电视和卫星传输服务: 1只
,J67资本市场服务: 1只
统计信息：,
,目标日期：2025-12-05
,总股票数量：273
,筛选后股票数量：30
,涉及行业数量：18
,有分红的股票数量：269
,平均分红收益率：0.031
,最高分红收益率：0.382
,分红数据年份范围：2024年-2025年
,ROE数据年份范围：2021年-2025年（共5年）
,有ROE数据的股票数量：267
,平均ROE均值：8.19%
,平均ROE波动率：58.72%
前100只股票估值统计：,
,前100只股票估值统计：
,综合PE均值：11.33
,综合PB均值：1.234
,综合PE*PB均值：15.32
,综合PE中位数：11.74
,综合PB中位数：1.141
,综合PE*PB中位数：13.29
筛选后30只股票估值统计：,
,筛选后30只股票估值统计：
,综合PE均值：10.26
,综合PB均值：1.003
,综合PE*PB均值：10.59
,综合PE中位数：9.86
,综合PB中位数：1.006
,综合PE*PB中位数：11.39
