code,codeName,peTTM,pbMRQ,close,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.601818,光大银行,5.190145,0.42054,3.54,J66货币金融服务,0.05418257894736842,0.023895761744887334,19.0,0.4410229673286513,0.29400000000000004,0.0,0.08305084745762713,8.0,5.0,10.0,206.0,48.0,23.0
sh.600016,民生银行,5.81323,0.313999,4.03,J66货币金融服务,0.042811052631578944,0.0148929108731253,19.0,0.34787537230840626,0.328,0.0,0.08138957816377171,15.0,1.0,12.0,243.0,14.0,28.0
sh.600015,华夏银行,4.045125,0.355878,6.9,J66货币金融服务,0.0460781052631579,0.023486857114126937,19.0,0.5097183788263541,0.505,0.0,0.07318840579710145,1.0,3.0,26.0,231.0,106.0,30.0
sz.000001,平安银行,5.171251,0.497735,11.49,J66货币金融服务,0.06462926315789475,0.0274875204225928,19.0,0.425310750571896,0.844,0.0,0.07345517841601393,7.0,14.0,24.0,176.0,36.0,45.0
sh.601166,兴业银行,5.715027,0.567635,20.87,J66货币金融服务,0.07023026315789474,0.03157433438348676,19.0,0.4495830282238864,1.625,0.0,0.07786296118830857,12.0,20.0,15.0,160.0,59.0,47.0
sh.601229,上海银行,5.884987,0.590003,9.96,J66货币金融服务,0.06397526315789474,0.0282287183671013,19.0,0.4412442712026233,0.8,0.0,0.08032128514056225,16.0,24.0,14.0,179.0,49.0,54.0
sh.601577,长沙银行,4.739026,0.55629,9.66,J66货币金融服务,0.0,0.0,,,0.6200000000000001,0.0,0.06418219461697723,4.0,19.0,52.0,284.0,,75.0
sh.601998,中信银行,6.17213,0.602644,7.78,J66货币金融服务,0.058723526315789476,0.025363066396651163,19.0,0.4319063923419665,0.5427,0.0,0.06975578406169665,21.0,26.0,34.0,189.0,43.0,81.0
sh.601328,交通银行,6.928302,0.578939,7.44,J66货币金融服务,0.05366247368421053,0.025076949124131286,19.0,0.4673088548191517,0.5353,0.0,0.07194892473118279,31.0,22.0,29.0,207.0,75.0,82.0
sh.601169,北京银行,4.606777,0.429111,5.64,J66货币金融服务,0.05304905263157895,0.02195565723724294,19.0,0.4138746339114304,0.32,0.0,0.056737588652482275,3.0,6.0,77.0,209.0,31.0,86.0
sz.002966,苏州银行,6.865387,0.7345,8.24,J66货币金融服务,0.0,0.0,,,0.6100000000000001,0.0,0.07402912621359224,29.0,44.0,22.0,284.0,,95.0
sh.601668,中国建筑,4.893649,0.453308,5.29,E48土木工程建筑业,0.08448315789473684,0.039229919356224864,19.0,0.4643519529076318,0.27149999999999996,0.0,0.05132325141776937,5.0,8.0,94.0,123.0,72.0,107.0
sh.601825,沪农商行,7.336434,0.720704,9.41,J66货币金融服务,0.07175336842105262,0.030594315278442256,19.0,0.42638158948738364,0.673,0.0,0.07151965993623804,36.0,42.0,30.0,155.0,38.0,108.0
sh.601009,南京银行,6.6647,0.787646,11.6,J66货币金融服务,0.08095515789473684,0.034834525488791145,19.0,0.43029408372083294,0.85177,0.0,0.07342844827586208,26.0,57.0,25.0,132.0,40.0,108.0
sh.601658,邮储银行,7.669186,0.65991,5.57,J66货币金融服务,0.06411631578947369,0.027924539916736383,19.0,0.435529390185593,0.3846,0.0,0.06904847396768402,41.0,32.0,36.0,178.0,45.0,109.0
sh.601997,贵阳银行,4.32297,0.349559,6.04,J66货币金融服务,0.0,0.0,,,0.29,0.0,0.04801324503311258,2.0,2.0,106.0,284.0,,110.0
sh.601919,中远海控,6.119195,1.002461,15.03,G55水上运输业,0.2991275789473684,0.29763891695089506,19.0,0.9950233208127717,2.1100000000000003,0.0,0.14038589487691286,20.0,95.0,2.0,4.0,267.0,117.0
sh.601390,中国中铁,5.473194,0.430213,5.5,E48土木工程建筑业,0.05756005263157895,0.02968713988033967,19.0,0.5157594290324281,0.26,0.0,0.04727272727272727,11.0,7.0,109.0,193.0,110.0,127.0
sh.601916,浙商银行,6.064311,0.476806,3.08,J66货币金融服务,0.056191368421052636,0.02090076412003087,19.0,0.3719568451050606,0.156,0.0,0.050649350649350645,19.0,11.0,98.0,198.0,17.0,128.0
sh.601939,建设银行,7.285622,0.715448,9.39,J66货币金融服务,0.06917726315789474,0.03204855689564769,19.0,0.46328165400961224,0.5888,0.0,0.06270500532481363,34.0,41.0,55.0,162.0,71.0,130.0
sh.600820,隧道股份,7.900974,0.647542,6.41,E48土木工程建筑业,0.0,0.0,,,0.4,0.0,0.062402496099843996,45.0,30.0,58.0,284.0,,133.0
sh.600926,杭州银行,6.025085,0.860802,15.79,J66货币金融服务,0.08389589473684211,0.03427378308868933,19.0,0.40852753518150764,1.03,0.0,0.06523115896136795,17.0,68.0,49.0,124.0,27.0,134.0
sh.601988,中国银行,7.902831,0.708599,5.88,J66货币金融服务,0.0570731052631579,0.026925631755499228,19.0,0.47177443090485544,0.3518,0.0,0.059829931972789116,46.0,38.0,66.0,195.0,81.0,150.0
sh.601128,常熟银行,5.731942,0.808579,7.25,J66货币金融服务,0.0,0.0,,,0.37727272727272726,0.0,0.05203761755485893,13.0,58.0,90.0,284.0,,161.0
sh.601077,渝农商行,6.328332,0.572295,6.63,J66货币金融服务,0.0658608947368421,0.024569242919857556,19.0,0.3730475120028046,0.3046,0.0,0.04594268476621417,22.0,21.0,118.0,170.0,18.0,161.0
sh.601838,成都银行,5.456943,0.856547,17.14,J66货币金融服务,0.09734631578947368,0.04848694845586185,19.0,0.49808714446597346,0.891,0.0,0.05198366394399066,10.0,67.0,91.0,89.0,99.0,168.0
sh.601398,工商银行,7.823045,0.750325,8.05,J66货币金融服务,0.0610082105263158,0.029817850989296377,19.0,0.48875144397874926,0.4494,0.0,0.055826086956521734,44.0,47.0,78.0,184.0,93.0,169.0
sh.601186,中国铁建,4.95922,0.387707,7.79,E48土木工程建筑业,0.05004442105263158,0.025833634725802693,19.0,0.5162140790605516,0.3,0.0,0.03851091142490372,6.0,4.0,160.0,219.0,112.0,170.0
sh.600919,江苏银行,5.743006,0.769709,10.7,J66货币金融服务,0.077738,0.0335213288254243,19.0,0.43120904609617305,0.5206,0.0,0.04865420560747664,14.0,52.0,104.0,140.0,41.0,170.0
sh.600153,建发股份,13.741547,0.502392,9.65,L72商务服务业,0.0,0.0,,,0.7,0.0,0.07253886010362694,143.0,15.0,28.0,284.0,,186.0
sh.600023,浙能电力,9.512477,0.923487,5.17,D44电力、热力生产和供应业,0.039891421052631576,0.04062908634807743,19.0,1.0184918279665345,0.33999999999999997,0.0,0.06576402321083172,62.0,77.0,48.0,248.0,268.0,187.0
sz.002958,青农商行,6.04033,0.489122,3.23,J66货币金融服务,0.0,0.0,,,0.12,0.0,0.03715170278637771,18.0,12.0,169.0,284.0,,199.0
sh.600177,雅戈尔,13.41942,0.816362,7.56,C18纺织服装、服饰业,0.0,0.0,,,0.66,0.0,0.08730158730158731,131.0,61.0,7.0,284.0,,199.0
sh.600219,南山铝业,11.154008,1.096223,4.91,C32有色金属冶炼和压延加工业,0.04987884210526316,0.02597767785846396,19.0,0.5208155755428578,0.46840000000000004,0.0,0.09539714867617108,83.0,118.0,6.0,220.0,115.0,207.0
sh.601665,齐鲁银行,6.771255,0.77514,6.06,J66货币金融服务,0.0,0.0,,,0.266,0.0,0.0438943894389439,28.0,55.0,131.0,284.0,,214.0
sh.601318,中国平安,7.557705,1.074813,58.55,J68保险业,0.08350257894736841,0.036717556939298714,19.0,0.4397176398880057,3.5,0.0,0.059777967549103334,39.0,111.0,67.0,127.0,46.0,217.0
sh.601800,中国交建,6.695892,0.473354,8.54,E48土木工程建筑业,0.044788684210526314,0.02112885357633709,19.0,0.47174535150490865,0.30166000000000004,0.0,0.03532318501170961,27.0,10.0,184.0,235.0,80.0,221.0
sh.600582,天地科技,8.823755,0.963805,5.94,C35专用设备制造业,0.0,0.0,,,0.317,0.0,0.05336700336700336,52.0,87.0,84.0,284.0,,223.0
sh.600098,广州发展,10.454443,0.875756,6.87,D44电力、热力生产和供应业,0.0,0.0,,,0.37,0.0,0.05385735080058224,76.0,73.0,82.0,284.0,,231.0
sh.600704,物产中大,7.432601,0.690084,5.46,F51批发业,0.0,0.0,,,0.21000000000000002,0.0,0.038461538461538464,37.0,35.0,161.0,284.0,,233.0
sz.002142,宁波银行,6.513225,0.862884,28.47,J66货币金融服务,0.0845517894736842,0.038851140806329176,19.0,0.4594951928063114,1.2,0.0,0.04214963119072708,25.0,69.0,140.0,122.0,65.0,234.0
sh.600000,浦发银行,7.669758,0.534504,11.25,J66货币金融服务,0.045103157894736845,0.017231522397639476,19.0,0.38204691648985956,0.41,0.0,0.03644444444444444,42.0,17.0,175.0,234.0,20.0,234.0
sh.600036,招商银行,7.316479,1.000159,43.22,J66货币金融服务,0.08895705263157894,0.041179021517803734,19.0,0.46290901395248746,2.0,0.0,0.04627487274409996,35.0,94.0,114.0,110.0,68.0,243.0
sh.601117,中国化学,7.640389,0.70922,7.61,E48土木工程建筑业,0.05850784210526315,0.029368360050047733,19.0,0.5019559599755922,0.28600000000000003,0.0,0.03758212877792379,40.0,39.0,167.0,190.0,100.0,246.0
sz.000651,格力电器,7.237541,1.587833,40.94,C38电气机械和器材制造业,0.13621110526315788,0.0778103298011651,19.0,0.5712480612416783,4.0,0.0,0.09770395701025893,33.0,225.0,5.0,38.0,159.0,263.0
sh.600008,首创环保,13.037664,1.064839,3.03,D46水的生产和供应业,0.0,0.0,,,0.21,0.0,0.06930693069306931,119.0,109.0,35.0,284.0,,263.0
sh.601857,中国石油,11.582654,1.175532,10.01,B07石油和天然气开采业,0.06643242105263159,0.03039851659815691,19.0,0.45758556012994706,0.6900000000000001,0.0,0.06893106893106894,90.0,141.0,37.0,166.0,61.0,268.0
sh.600018,上港集团,9.188971,0.94603,5.69,G55水上运输业,0.087664,0.043144323007526464,19.0,0.49215553713641247,0.245,0.0,0.043057996485061506,58.0,82.0,136.0,115.0,96.0,276.0
sz.000623,吉林敖东,8.970005,0.753493,19.26,C27医药制造业,0.0,0.0,,,0.7,0.0,0.03634475597092419,54.0,48.0,176.0,284.0,,278.0
sh.601288,农业银行,9.581266,1.009627,7.9,J66货币金融服务,0.060856842105263154,0.027845874809711558,19.0,0.45756358441252953,0.3614,0.0,0.045746835443037974,65.0,97.0,119.0,186.0,60.0,281.0
sh.601598,中国外运,12.277862,1.164156,6.45,G58多式联运和运输代理业,0.0,0.0,,,0.43499999999999994,0.0,0.06744186046511627,102.0,137.0,42.0,284.0,,281.0
sh.601006,大秦铁路,16.879907,0.675574,5.58,G53铁路运输业,0.05548794736842105,0.027271831836517664,19.0,0.49149109184814493,0.34924,0.0,0.06258781362007168,198.0,33.0,57.0,203.0,95.0,288.0
sh.600027,华电国际,9.258919,1.252273,5.25,D44电力、热力生产和供应业,0.0365021052631579,0.03725546658902666,19.0,1.0206388459086808,0.3,0.0,0.05714285714285714,60.0,159.0,76.0,259.0,269.0,295.0
