code,codeName,peTTM,pbMRQ,close,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.601818,光大银行,5.160822,0.418164,3.52,J66货币金融服务,0.05418257894736842,0.023895761744887334,19,0.4410229673286513,0.29400000000000004,0.0,0.08352272727272729,7.0,5.0,9.0,459.0,90.0,21.0
sh.600016,民生银行,5.78438,0.312441,4.01,J66货币金融服务,0.042811052631578944,0.0148929108731253,19,0.34787537230840626,0.328,0.0,0.08179551122194514,15.0,1.0,11.0,546.0,27.0,27.0
sh.600015,华夏银行,4.015812,0.353299,6.85,J66货币金融服务,0.0460781052631579,0.023486857114126937,19,0.5097183788263541,0.505,0.0,0.07372262773722628,1.0,3.0,25.0,523.0,227.0,29.0
sh.601668,中国建筑,4.930652,0.456736,5.33,E48土木工程建筑业,0.08448315789473684,0.039229919356224864,19,0.4643519529076318,0.27149999999999996,0.0,0.05093808630393996,5.0,8.0,96.0,249.0,132.0,109.0
sh.601919,中远海控,6.098839,0.999126,14.98,G55水上运输业,0.2991275789473684,0.29763891695089506,19,0.9950233208127717,2.1100000000000003,0.0,0.1408544726301736,20.0,94.0,2.0,5.0,616.0,116.0
sh.601390,中国中铁,5.493097,0.431777,5.52,E48土木工程建筑业,0.05756005263157895,0.02968713988033967,19,0.5157594290324281,0.26,0.0,0.04710144927536233,11.0,7.0,110.0,433.0,240.0,128.0
sh.600820,隧道股份,7.925626,0.649563,6.43,E48土木工程建筑业,0.04459726315789474,0.03318215745085854,19,0.7440402190909902,0.4,0.0,0.06220839813374806,45.0,30.0,58.0,533.0,514.0,133.0
sh.600153,建发股份,13.855467,0.506556,9.73,L72商务服务业,0.059583263157894736,0.06143274069151844,19,1.031040218940722,0.7,0.0,0.07194244604316546,142.0,15.0,29.0,420.0,623.0,186.0
sh.600023,浙能电力,9.494077,0.921701,5.16,D44电力、热力生产和供应业,0.039891421052631576,0.04062908634807743,19,1.0184918279665345,0.33999999999999997,0.0,0.06589147286821705,64.0,76.0,48.0,562.0,620.0,188.0
sh.600177,雅戈尔,13.348418,0.812043,7.52,C18纺织服装、服饰业,0.06998594736842105,0.04191117624807345,19,0.5988513097842918,0.66,0.0,0.08776595744680853,127.0,60.0,7.0,335.0,380.0,194.0
sh.600582,天地科技,8.823755,0.963805,5.94,C35专用设备制造业,0.06850794736842104,0.02966675886965763,19,0.43304112893816776,0.317,0.0,0.05336700336700336,52.0,84.0,84.0,350.0,82.0,220.0
sh.600098,广州发展,10.46966,0.877031,6.88,D44电力、热力生产和供应业,0.04142115789473684,0.02246746489744957,19,0.5424151819837075,0.37,0.0,0.05377906976744186,76.0,73.0,83.0,555.0,295.0,232.0
sh.600704,物产中大,7.500665,0.696403,5.51,F51批发业,0.06806978947368421,0.03478240192744178,19,0.510981482334225,0.21000000000000002,0.0,0.03811252268602541,36.0,35.0,162.0,354.0,230.0,233.0
sh.600219,南山铝业,12.108119,1.189993,5.33,C32有色金属冶炼和压延加工业,0.04987884210526316,0.02597767785846396,19,0.5208155755428578,0.46840000000000004,0.0,0.0878799249530957,97.0,140.0,6.0,490.0,255.0,243.0
sh.601318,中国平安,8.001745,1.137962,61.99,J68保险业,0.08350257894736841,0.036717556939298714,19,0.4397176398880057,3.5,0.0,0.0564607194708824,46.0,126.0,77.0,255.0,88.0,249.0
sh.601857,中国石油,11.455372,1.162614,9.9,B07石油和天然气开采业,0.06643242105263159,0.03039851659815691,19,0.45758556012994706,0.6900000000000001,0.0,0.0696969696969697,87.0,134.0,35.0,365.0,120.0,256.0
sz.000651,格力电器,7.225166,1.585118,40.87,C38电气机械和器材制造业,0.13621110526315788,0.0778103298011651,19,0.5712480612416783,4.0,0.0,0.09787129924149744,32.0,222.0,5.0,61.0,348.0,259.0
sh.600008,首创环保,13.080693,1.068354,3.04,D46水的生产和供应业,0.05238463157894737,0.03856506588900623,19,0.7361904575177919,0.21,0.0,0.06907894736842105,118.0,107.0,38.0,470.0,511.0,263.0
sh.600018,上港集团,9.124374,0.93938,5.65,G55水上运输业,0.087664,0.043144323007526464,19,0.49215553713641247,0.245,0.0,0.04336283185840708,56.0,78.0,133.0,231.0,188.0,267.0
sh.601598,中国外运,12.239791,1.160546,6.43,G58多式联运和运输代理业,0.06880657894736843,0.0346823437185676,19,0.5040556331843913,0.43499999999999994,0.0,0.067651632970451,99.0,131.0,42.0,346.0,218.0,272.0
sh.601006,大秦铁路,16.819405,0.673152,5.56,G53铁路运输业,0.05548794736842105,0.027271831836517664,19,0.49149109184814493,0.34924,0.0,0.06281294964028777,193.0,33.0,56.0,448.0,187.0,282.0
sz.000623,吉林敖东,9.077124,0.762491,19.49,C27医药制造业,0.039550684210526314,0.0233201564389946,19,0.5896271304653687,0.7,0.0,0.03591585428424833,55.0,50.0,177.0,567.0,372.0,282.0
sh.601898,中煤能源,10.549251,1.152599,13.68,B06煤炭开采和洗选业,0.0900607894736842,0.04143363547835523,19,0.46006298324158207,0.758,0.0,0.0554093567251462,78.0,130.0,81.0,218.0,126.0,289.0
sh.600027,华电国际,9.311827,1.259429,5.28,D44电力、热力生产和供应业,0.0365021052631579,0.03725546658902666,19,1.0206388459086808,0.3,0.0,0.056818181818181816,60.0,154.0,76.0,593.0,621.0,290.0
sh.600741,华域汽车,9.131751,0.974197,20.0,C36汽车制造业,0.0693058947368421,0.038932790809426,19,0.5617529498357352,0.8,0.0,0.04,57.0,91.0,148.0,343.0,328.0,296.0
sh.600998,九州通,9.24658,0.973176,5.11,F51批发业,0.063987,0.029022151356047562,19,0.45356324497237815,0.2,0.0,0.03913894324853229,59.0,90.0,154.0,387.0,116.0,303.0
sh.600585,海螺水泥,13.72063,0.634358,22.79,C30非金属矿物制品业,0.05271810526315789,0.04645376644925186,19,0.8811729142647341,0.95,0.0,0.04168494953927161,136.0,28.0,141.0,469.0,594.0,305.0
sh.601298,青岛港,10.226846,1.236312,8.64,G55水上运输业,0.07707521052631579,0.03422492435926865,19,0.44404581091067197,0.4607,0.0,0.053321759259259256,72.0,152.0,85.0,288.0,96.0,309.0
sh.600282,南钢股份,12.083721,1.202754,5.26,C31黑色金属冶炼和压延加工业,0.06640057894736842,0.03891633683417086,19,0.5860843000332482,0.3036,0.0,0.05771863117870722,96.0,143.0,74.0,366.0,366.0,313.0
sh.601555,东吴证券,12.932547,1.060805,9.03,J67资本市场服务,0.03888926315789474,0.020543590254335088,19,0.5282586654040171,0.45,0.0,0.049833887043189376,116.0,106.0,100.0,569.0,270.0,322.0


统计项,数值
行业分布统计：,
,J66货币金融服务: 3只
,E48土木工程建筑业: 3只
,G55水上运输业: 3只
,L72商务服务业: 1只
,D44电力、热力生产和供应业: 3只
,C18纺织服装、服饰业: 1只
,C35专用设备制造业: 1只
,F51批发业: 2只
,C32有色金属冶炼和压延加工业: 1只
,J68保险业: 1只
,B07石油和天然气开采业: 1只
,C38电气机械和器材制造业: 1只
,D46水的生产和供应业: 1只
,G58多式联运和运输代理业: 1只
,G53铁路运输业: 1只
,C27医药制造业: 1只
,B06煤炭开采和洗选业: 1只
,C36汽车制造业: 1只
,C30非金属矿物制品业: 1只
,C31黑色金属冶炼和压延加工业: 1只
,J67资本市场服务: 1只
统计信息：,
,目标日期：2025-12-05
,总股票数量：717
,筛选后股票数量：30
,涉及行业数量：21
,有分红的股票数量：684
,平均分红收益率：0.025
,最高分红收益率：0.382
,分红数据年份范围：2024年-2025年
,ROE数据年份范围：2021年-2025年（共5年）
,有ROE数据的股票数量：699
,平均ROE均值：6.94%
,平均ROE波动率：67.52%
前100只股票估值统计：,
,前100只股票估值统计：
,综合PE均值：9.78
,综合PB均值：0.941
,综合PE*PB均值：9.82
,综合PE中位数：9.19
,综合PB中位数：0.933
,综合PE*PB中位数：9.05
筛选后30只股票估值统计：,
,筛选后30只股票估值统计：
,综合PE均值：9.64
,综合PB均值：0.886
,综合PE*PB均值：8.85
,综合PE中位数：9.28
,综合PB中位数：0.952
,综合PE*PB中位数：8.95
