code,codeName,peTTM,pbMRQ,close,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.601818,光大银行,5.219468,0.422916,3.56,J66货币金融服务,0.05418257894736842,0.023895761744887334,19,0.4410229673286513,0.29400000000000004,0.0,0.08258426966292136,8.0,5.0,7.0,459.0,90.0,20.0
sh.600015,华夏银行,4.068575,0.357941,6.94,J66货币金融服务,0.04607810526315789,0.023486857114126937,19,0.5097183788263542,0.505,0.0,0.07276657060518732,1.0,3.0,20.0,523.0,227.0,24.0
sh.600016,民生银行,5.769955,0.311662,4.0,J66货币金融服务,0.042811052631578944,0.0148929108731253,19,0.34787537230840626,0.328,0.0,0.082,16.0,1.0,9.0,546.0,27.0,26.0
sh.601668,中国建筑,4.884398,0.452451,5.28,E48土木工程建筑业,0.08448315789473684,0.039229919356224864,19,0.4643519529076318,0.27149999999999996,0.0,0.05142045454545453,5.0,8.0,77.0,249.0,132.0,90.0
sh.601390,中国中铁,5.453292,0.428649,5.48,E48土木工程建筑业,0.05756005263157894,0.02968713988033967,19,0.5157594290324282,0.26,0.0,0.04744525547445255,10.0,7.0,88.0,433.0,240.0,105.0
sh.601919,中远海控,6.045912,0.990455,14.85,G55水上运输业,0.29912757894736847,0.29763891695089506,19,0.9950233208127716,2.11,0.0,0.1420875420875421,19.0,93.0,2.0,5.0,616.0,114.0
sh.600820,隧道股份,7.863996,0.644512,6.38,E48土木工程建筑业,0.04459726315789474,0.03318215745085854,19,0.7440402190909902,0.4,0.0,0.06269592476489029,45.0,30.0,46.0,533.0,514.0,121.0
sh.600023,浙能电力,9.42048,0.914556,5.12,D44电力、热力生产和供应业,0.03989142105263158,0.04062908634807743,19,1.0184918279665343,0.33999999999999997,0.0,0.06640624999999999,62.0,77.0,37.0,562.0,620.0,176.0
sh.600153,建发股份,13.955147,0.510201,9.8,L72商务服务业,0.059583263157894736,0.06143274069151844,19,1.031040218940722,0.7,0.0,0.07142857142857142,141.0,15.0,22.0,420.0,623.0,178.0
sh.600177,雅戈尔,13.241914,0.805564,7.46,C18纺织服装、服饰业,0.06998594736842105,0.04191117624807345,19,0.5988513097842918,0.6599999999999999,0.0,0.08847184986595173,121.0,60.0,5.0,335.0,380.0,186.0
sh.600704,物产中大,7.459827,0.692611,5.48,F51批发业,0.06806978947368421,0.03478240192744178,19,0.510981482334225,0.21000000000000002,0.0,0.03832116788321168,36.0,35.0,119.0,354.0,230.0,190.0
sh.600582,天地科技,8.8089,0.962182,5.93,C35专用设备制造业,0.06850794736842106,0.02966675886965763,19,0.4330411289381677,0.317,0.0,0.05345699831365936,53.0,86.0,71.0,350.0,82.0,210.0
sh.600098,广州发展,10.34792,0.866833,6.8,D44电力、热力生产和供应业,0.04142115789473684,0.02246746489744957,19,0.5424151819837075,0.37,0.0,0.054411764705882354,75.0,71.0,68.0,555.0,295.0,214.0
sh.600219,南山铝业,11.858232,1.165434,5.22,C32有色金属冶炼和压延加工业,0.04987884210526315,0.02597767785846396,19,0.5208155755428578,0.4683999999999999,0.0,0.08973180076628351,90.0,133.0,4.0,490.0,255.0,227.0
sh.600018,上港集团,9.059777,0.932729,5.61,G55水上运输业,0.087664,0.043144323007526464,19,0.49215553713641247,0.245,0.0,0.04367201426024955,55.0,78.0,103.0,231.0,188.0,236.0
sh.601857,中国石油,11.397517,1.156743,9.85,B07石油和天然气开采业,0.06643242105263159,0.03039851659815691,19,0.45758556012994706,0.6900000000000001,0.0,0.0700507614213198,88.0,128.0,27.0,365.0,120.0,243.0
sh.601318,中国平安,8.183749,1.163846,63.4,J68保险业,0.08350257894736841,0.036717556939298714,19,0.4397176398880057,3.5,0.0,0.05520504731861199,46.0,132.0,66.0,255.0,88.0,244.0
sh.600741,华域汽车,9.017604,0.96202,19.75,C36汽车制造业,0.06930589473684211,0.038932790809426,19,0.5617529498357351,0.8,0.0,0.04050632911392405,54.0,85.0,109.0,343.0,328.0,248.0
sz.000651,格力电器,7.191577,1.577749,40.68,C38电气机械和器材制造业,0.13621110526315788,0.0778103298011651,19,0.5712480612416783,4.0,0.0,0.09832841691248771,31.0,221.0,3.0,61.0,348.0,255.0
sh.600008,首创环保,13.037664,1.064839,3.03,D46水的生产和供应业,0.05238463157894736,0.03856506588900623,19,0.736190457517792,0.21,0.0,0.06930693069306931,119.0,107.0,30.0,470.0,511.0,256.0
sh.601898,中煤能源,10.356465,1.131535,13.43,B06煤炭开采和洗选业,0.0900607894736842,0.04143363547835523,19,0.46006298324158207,0.758,0.0,0.056440804169769175,76.0,123.0,63.0,218.0,126.0,262.0
sh.600998,九州通,9.300865,0.978889,5.14,F51批发业,0.063987,0.029022151356047562,19,0.45356324497237815,0.2,0.0,0.03891050583657588,60.0,91.0,116.0,387.0,116.0,267.0
sh.601006,大秦铁路,16.698402,0.668309,5.52,G53铁路运输业,0.05548794736842105,0.027271831836517664,19,0.49149109184814493,0.34924,0.0,0.063268115942029,192.0,32.0,43.0,448.0,187.0,267.0
sh.600027,华电国际,9.170739,1.240347,5.2,D44电力、热力生产和供应业,0.0365021052631579,0.03725546658902666,19,1.0206388459086808,0.3,0.0,0.05769230769230769,56.0,152.0,60.0,593.0,621.0,268.0
sh.600585,海螺水泥,13.648384,0.631018,22.67,C30非金属矿物制品业,0.05271810526315789,0.04645376644925186,19,0.8811729142647341,0.95,0.0,0.04190560211733568,134.0,28.0,108.0,469.0,594.0,270.0
sh.601298,青岛港,10.167663,1.229157,8.59,G55水上运输业,0.07707521052631579,0.03422492435926865,19,0.44404581091067197,0.46070000000000005,0.0,0.05363213038416764,72.0,150.0,69.0,288.0,96.0,291.0
sh.600282,南钢股份,11.968857,1.191321,5.21,C31黑色金属冶炼和压延加工业,0.06640057894736841,0.03891633683417086,19,0.5860843000332484,0.3036,0.0,0.0582725527831094,95.0,141.0,58.0,366.0,366.0,294.0
sh.600583,海油工程,12.115545,0.907628,5.54,B11开采专业及辅助性活动,0.03762342105263159,0.023679725846094558,19,0.629387896782934,0.20099999999999998,0.0,0.036281588447653425,98.0,76.0,128.0,580.0,420.0,302.0
sh.600985,淮北矿业,17.487342,0.754657,11.6,B06煤炭开采和洗选业,0.10507868421052632,0.06310384116680892,19,0.6005389355692698,0.75,0.0,0.06465517241379311,215.0,48.0,42.0,151.0,382.0,305.0
sh.601019,山东出版,11.325753,1.124417,8.38,R86新闻和出版业,0.06934915789473683,0.04343296954217455,19,0.6262941160453636,0.37,0.0,0.04415274463007159,87.0,121.0,102.0,342.0,409.0,310.0


统计项,数值
行业分布统计：,
,J66货币金融服务: 3只
,E48土木工程建筑业: 3只
,G55水上运输业: 3只
,D44电力、热力生产和供应业: 3只
,L72商务服务业: 1只
,C18纺织服装、服饰业: 1只
,F51批发业: 2只
,C35专用设备制造业: 1只
,C32有色金属冶炼和压延加工业: 1只
,B07石油和天然气开采业: 1只
,J68保险业: 1只
,C36汽车制造业: 1只
,C38电气机械和器材制造业: 1只
,D46水的生产和供应业: 1只
,B06煤炭开采和洗选业: 2只
,G53铁路运输业: 1只
,C30非金属矿物制品业: 1只
,C31黑色金属冶炼和压延加工业: 1只
,B11开采专业及辅助性活动: 1只
,R86新闻和出版业: 1只
统计信息：,
,目标日期：2025-12-08
,总股票数量：717
,筛选后股票数量：30
,涉及行业数量：20
,有分红的股票数量：380
,平均分红收益率：0.016
,最高分红收益率：0.382
,分红数据年份范围：2024年-2025年
,ROE数据年份范围：2021年-2025年（共5年）
,有ROE数据的股票数量：699
,平均ROE均值：6.94%
,平均ROE波动率：67.52%
前100只股票估值统计：,
,前100只股票估值统计：
,综合PE均值：9.89
,综合PB均值：0.948
,综合PE*PB均值：9.97
,综合PE中位数：9.21
,综合PB中位数：0.924
,综合PE*PB中位数：9.34
筛选后30只股票估值统计：,
,筛选后30只股票估值统计：
,综合PE均值：9.82
,综合PB均值：0.875
,综合PE*PB均值：8.82
,综合PE中位数：9.36
,综合PB中位数：0.924
,综合PE*PB中位数：9.04
