code,codeName,peTTM,pbMRQ,close,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.601818,光大银行,5.278114,0.427668,3.6,J66货币金融服务,0.05418257894736842,0.023895761744887334,19,0.4410229673286513,0.29400000000000004,0.0,0.08166666666666668,8.0,5.0,9.0,459.0,90.0,22.0
sh.600015,华夏银行,4.109612,0.361552,7.01,J66货币金融服务,0.0460781052631579,0.023486857114126937,19,0.5097183788263541,0.505,0.0,0.07203994293865906,1.0,3.0,24.0,523.0,227.0,28.0
sh.600016,民生银行,5.986328,0.323349,4.15,J66货币金融服务,0.042811052631578944,0.0148929108731253,19,0.34787537230840626,0.328,0.0,0.07903614457831325,16.0,1.0,13.0,546.0,27.0,30.0
sh.601668,中国建筑,4.847395,0.449023,5.24,E48土木工程建筑业,0.08448315789473684,0.039229919356224864,19,0.4643519529076318,0.27149999999999996,0.0,0.05181297709923663,5.0,8.0,92.0,249.0,132.0,105.0
sh.601919,中远海控,6.155836,1.008463,15.12,G55水上运输业,0.2991275789473684,0.29763891695089506,19,0.9950233208127717,2.1100000000000003,0.0,0.1395502645502646,19.0,99.0,2.0,5.0,616.0,120.0
sh.601390,中国中铁,5.453292,0.428649,5.48,E48土木工程建筑业,0.05756005263157895,0.02968713988033967,19,0.5157594290324281,0.26,0.0,0.04744525547445255,10.0,6.0,108.0,433.0,240.0,124.0
sh.600820,隧道股份,7.9133,0.648552,6.42,E48土木工程建筑业,0.04459726315789474,0.03318215745085854,19,0.7440402190909902,0.4,0.0,0.06230529595015577,45.0,31.0,57.0,533.0,514.0,133.0
sh.600023,浙能电力,9.328483,0.905624,5.07,D44电力、热力生产和供应业,0.039891421052631576,0.04062908634807743,19,1.0184918279665345,0.33999999999999997,0.0,0.0670611439842209,62.0,77.0,43.0,562.0,620.0,182.0
sh.600153,建发股份,13.883947,0.507598,9.75,L72商务服务业,0.059583263157894736,0.06143274069151844,19,1.031040218940722,0.7,0.0,0.07179487179487179,144.0,15.0,26.0,420.0,623.0,185.0
sh.600219,南山铝业,10.926839,1.073896,4.81,C32有色金属冶炼和压延加工业,0.04987884210526316,0.02597767785846396,19,0.5208155755428578,0.46840000000000004,0.0,0.09738045738045739,83.0,113.0,6.0,490.0,255.0,202.0
sh.600177,雅戈尔,13.73893,0.8358,7.65863712,C18纺织服装、服饰业,0.06998594736842105,0.04191117624807345,19,0.5988513097842918,0.66,0.0,0.08617721268924673,139.0,61.0,7.0,335.0,380.0,207.0
sh.601318,中国平安,7.568032,1.076282,58.63,J68保险业,0.08350257894736841,0.036717556939298714,19,0.4397176398880057,3.5,0.0,0.05969640115981579,39.0,114.0,67.0,255.0,88.0,220.0
sh.600582,天地科技,8.794045,0.96056,5.92,C35专用设备制造业,0.06850794736842104,0.02966675886965763,19,0.43304112893816776,0.317,0.0,0.0535472972972973,54.0,89.0,84.0,350.0,82.0,227.0
sh.600704,物产中大,7.418988,0.68882,5.45,F51批发业,0.06806978947368421,0.03478240192744178,19,0.510981482334225,0.21000000000000002,0.0,0.03853211009174312,36.0,35.0,160.0,354.0,230.0,231.0
sh.600098,广州发展,10.454443,0.875756,6.87,D44电力、热力生产和供应业,0.04142115789473684,0.02246746489744957,19,0.5424151819837075,0.37,0.0,0.05385735080058224,76.0,72.0,83.0,555.0,295.0,231.0
sz.000651,格力电器,7.22163,1.584342,40.85,C38电气机械和器材制造业,0.13621110526315788,0.0778103298011651,19,0.5712480612416783,4.0,0.0,0.09791921664626682,32.0,223.0,5.0,61.0,348.0,260.0
sh.600008,首创环保,12.994636,1.061325,3.02,D46水的生产和供应业,0.05238463157894737,0.03856506588900623,19,0.7361904575177919,0.21,0.0,0.0695364238410596,121.0,108.0,33.0,470.0,511.0,262.0
sh.600018,上港集团,8.946731,0.921091,5.54,G55水上运输业,0.087664,0.043144323007526464,19,0.49215553713641247,0.245,0.0,0.04422382671480144,56.0,78.0,128.0,231.0,188.0,262.0
sh.601857,中国石油,11.524799,1.16966,9.96,B07石油和天然气开采业,0.06643242105263159,0.03039851659815691,19,0.45758556012994706,0.6900000000000001,0.0,0.06927710843373494,88.0,140.0,35.0,365.0,120.0,263.0
sh.601598,中国外运,12.182685,1.155131,6.4,G58多式联运和运输代理业,0.06880657894736843,0.0346823437185676,19,0.5040556331843913,0.43499999999999994,0.0,0.06796874999999998,95.0,137.0,39.0,346.0,218.0,271.0
sz.000623,吉林敖东,8.951376,0.751928,19.22,C27医药制造业,0.039550684210526314,0.0233201564389946,19,0.5896271304653687,0.7,0.0,0.036420395421436005,57.0,47.0,171.0,567.0,372.0,275.0
sh.601006,大秦铁路,16.728653,0.66952,5.53,G53铁路运输业,0.05548794736842105,0.027271831836517664,19,0.49149109184814493,0.34924,0.0,0.06315370705244122,196.0,33.0,55.0,448.0,187.0,284.0
sh.601898,中煤能源,10.526117,1.150071,13.65,B06煤炭开采和洗选业,0.0900607894736842,0.04143363547835523,19,0.46006298324158207,0.758,0.0,0.05553113553113553,77.0,134.0,79.0,218.0,126.0,290.0
sh.600741,华域汽车,8.935419,0.953252,19.57,C36汽车制造业,0.0693058947368421,0.038932790809426,19,0.5617529498357352,0.8,0.0,0.040878896269800714,55.0,86.0,149.0,343.0,328.0,290.0
sh.600998,九州通,8.993249,0.946513,4.97,F51批发业,0.063987,0.029022151356047562,19,0.45356324497237815,0.2,0.0,0.040241448692152924,58.0,83.0,150.0,387.0,116.0,291.0
sh.600027,华电国际,9.188375,1.242732,5.21,D44电力、热力生产和供应业,0.0365021052631579,0.03725546658902666,19,1.0206388459086808,0.3,0.0,0.05758157389635316,59.0,158.0,74.0,593.0,621.0,291.0
sh.601298,青岛港,10.03746,1.213417,8.48,G55水上运输业,0.07707521052631579,0.03422492435926865,19,0.44404581091067197,0.4607,0.0,0.05432783018867924,70.0,154.0,81.0,288.0,96.0,305.0
sh.600585,海螺水泥,13.696548,0.633245,22.75,C30非金属矿物制品业,0.05271810526315789,0.04645376644925186,19,0.8811729142647341,0.95,0.0,0.041758241758241756,138.0,28.0,141.0,469.0,594.0,307.0
sh.601555,东吴证券,12.860938,1.054931,8.98,J67资本市场服务,0.03888926315789474,0.020543590254335088,19,0.5282586654040171,0.45,0.0,0.05011135857461024,119.0,106.0,97.0,569.0,270.0,322.0
sz.000951,中国重汽,12.374612,1.270395,16.81,C36汽车制造业,0.04957936842105263,0.03112164398722915,19,0.6277136030239169,1.0110000000000001,0.0,0.060142772159428926,101.0,163.0,65.0,491.0,411.0,329.0


统计项,数值
行业分布统计：,
,J66货币金融服务: 3只
,E48土木工程建筑业: 3只
,G55水上运输业: 3只
,D44电力、热力生产和供应业: 3只
,L72商务服务业: 1只
,C32有色金属冶炼和压延加工业: 1只
,C18纺织服装、服饰业: 1只
,J68保险业: 1只
,C35专用设备制造业: 1只
,F51批发业: 2只
,C38电气机械和器材制造业: 1只
,D46水的生产和供应业: 1只
,B07石油和天然气开采业: 1只
,G58多式联运和运输代理业: 1只
,C27医药制造业: 1只
,G53铁路运输业: 1只
,B06煤炭开采和洗选业: 1只
,C36汽车制造业: 2只
,C30非金属矿物制品业: 1只
,J67资本市场服务: 1只
统计信息：,
,目标日期：2025-12-01
,总股票数量：717
,筛选后股票数量：30
,涉及行业数量：20
,有分红的股票数量：684
,平均分红收益率：0.025
,最高分红收益率：0.382
,分红数据年份范围：2024年-2025年
,ROE数据年份范围：2021年-2025年（共5年）
,有ROE数据的股票数量：699
,平均ROE均值：6.94%
,平均ROE波动率：67.52%
前100只股票估值统计：,
,前100只股票估值统计：
,综合PE均值：9.75
,综合PB均值：0.933
,综合PE*PB均值：9.65
,综合PE中位数：8.97
,综合PB中位数：0.913
,综合PE*PB中位数：8.60
筛选后30只股票估值统计：,
,筛选后30只股票估值统计：
,综合PE均值：9.57
,综合PB均值：0.878
,综合PE*PB均值：8.69
,综合PE中位数：9.09
,综合PB中位数：0.934
,综合PE*PB中位数：8.51
