code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.601919,中远海控,6.22505,1.019802,15.29,192815686408.43344,G55水上运输业,0.2966938,0.28990483867834255,20.0,0.9771179535209112,2.1100000000000003,0.0,0.13799869195552653,22.0,99.0,2.0,5.0,581.0,128.0
sh.601838,成都银行,5.297756,0.83156,16.64,70401328063.72086,J66货币金融服务,0.09986355,0.04851780624675202,20.0,0.4858409925017889,0.891,0.0,0.053545673076923074,9.0,60.0,70.0,167.0,165.0,306.0
sz.000651,格力电器,7.272898,1.59559,41.14,226900950859.59885,C38电气机械和器材制造业,0.1392411,0.0769376998506276,20.0,0.5525502157813145,4.0,0.0,0.09722897423432182,32.0,213.0,4.0,62.0,293.0,311.0
sh.601668,中国建筑,4.819643,0.446453,5.21,215278056131.34497,E48土木工程建筑业,0.08803995,0.04136426816707106,20.0,0.4698352073924515,0.27149999999999996,0.0,0.05211132437619961,5.0,8.0,74.0,235.0,143.0,322.0
sh.601009,南京银行,6.555537,0.774745,11.41,141069786701.87085,J66货币金融服务,0.0836689,0.036012034209194715,20.0,0.430411230567089,0.85177,0.0,0.07465118317265557,25.0,54.0,18.0,257.0,72.0,354.0
sh.601001,晋控煤业,12.08257,1.242842,13.96,23366298878.372658,B06煤炭开采和洗选业,0.1464172,0.11046227097477791,20.0,0.7544350730295205,0.755,0.0,0.05408309455587392,100.0,147.0,67.0,54.0,492.0,368.0
sh.601166,兴业银行,5.775272,0.573619,21.09,446367509433.294,J66货币金融服务,0.07247755,0.032333791960985896,20.0,0.44612148121709266,1.625,0.0,0.0770507349454718,14.0,20.0,14.0,322.0,95.0,370.0
sh.600873,梅花生物,7.504858,1.755714,10.09,28295151196.337994,C14食品制造业,0.1526227,0.08553715808878187,20.0,0.5604484659803678,0.60193,0.0,0.059656095143706636,35.0,250.0,55.0,50.0,306.0,390.0
sh.600546,山煤国际,16.609772,1.250495,10.33,20477762007.389168,B06煤炭开采和洗选业,0.1795045,0.1503417792758956,20.0,0.8375376621527348,0.6900000000000001,0.0,0.06679574056147145,192.0,152.0,33.0,18.0,546.0,395.0
sh.600938,中国海油,10.71707,1.681419,27.79,83092576920.27667,B07石油和天然气开采业,0.13085835294117645,0.06242903936464702,17.0,0.4770734000657197,1.94771,0.0,0.07008672184238936,78.0,235.0,29.0,74.0,154.0,416.0
sh.600985,淮北矿业,17.517492,0.755958,11.62,31297945989.19368,B06煤炭开采和洗选业,0.10842734999999999,0.06322010824203175,20.0,0.5830642198857738,0.75,0.0,0.06454388984509467,216.0,49.0,43.0,142.0,340.0,450.0
sh.600018,上港集团,8.995179,0.926079,5.57,129494767622.42725,G55水上运输业,0.0881796,0.04205685839106763,20.0,0.47694544306242753,0.245,0.0,0.04398563734290843,53.0,76.0,100.0,234.0,152.0,463.0
sh.600096,云天化,9.652048,2.246825,29.85,54415049844.56765,C26化学原料和化学制品制造业,0.21218515,0.12435510076909634,20.0,0.5860688213529379,1.5999999999999999,0.0,0.05360134003350083,65.0,335.0,68.0,12.0,347.0,480.0
sh.600177,雅戈尔,13.525923,0.822842,7.62,35229248402.435486,C18纺织服装、服饰业,0.07932775,0.05839077321476759,20.0,0.7360699530084692,0.66,0.0,0.08661417322834646,130.0,59.0,5.0,287.0,481.0,481.0
sh.600039,四川路桥,11.104448,1.727217,9.88,85887051022.40897,E48土木工程建筑业,0.12813535,0.07488597365347498,20.0,0.5844286814955824,0.446,0.0,0.0451417004048583,83.0,246.0,96.0,78.0,342.0,503.0
sz.002432,九安医疗,10.257446,0.8733,41.68,18270660325.04284,C35专用设备制造业,0.33995105,0.562127235340473,20.0,1.6535534611246916,0.0,0.0,0.0,71.0,69.0,366.0,2.0,648.0,508.0
sh.600970,中材国际,8.992916,1.216392,10.28,23149341491.279068,E48土木工程建筑业,0.09156685,0.045825822270481854,20.0,0.5004630198645236,0.45,0.0,0.043774319066147864,52.0,144.0,101.0,214.0,197.0,511.0
sh.601318,中国平安,8.874334,1.262057,68.75,732931283394.5566,J68保险业,0.0892945,0.04413784304163968,20.0,0.49429520341834804,3.5,0.0,0.05090909090909091,50.0,156.0,79.0,230.0,181.0,515.0
sh.600566,济川药业,14.829264,1.770567,26.58,24404883640.64481,C27医药制造业,0.12257335,0.06128887152551475,20.0,0.5000179200904173,2.09,0.0,0.07863054928517682,160.0,254.0,13.0,98.0,195.0,525.0
sh.600704,物产中大,7.487053,0.695139,5.5,28441863347.457626,F51批发业,0.06994199999999999,0.03487469612469009,20.0,0.49862308948400236,0.21000000000000002,0.0,0.038181818181818185,34.0,36.0,117.0,340.0,192.0,527.0
sh.600582,天地科技,8.630642,0.942711,5.81,24046331736.128864,C35专用设备制造业,0.0689648,0.028947693224340456,20.0,0.41974591711047454,0.317,0.0,0.05456110154905336,47.0,80.0,65.0,347.0,61.0,539.0
sz.002648,卫星化学,9.30285,1.781029,16.94,57028369602.17854,C26化学原料和化学制品制造业,0.13491709999999998,0.08225439024654903,20.0,0.6096661597866322,0.5,0.0,0.029515938606847696,59.0,260.0,156.0,66.0,374.0,541.0
sh.600153,建发股份,13.314349,0.486773,9.35,27110411406.896553,L72商务服务业,0.06310535,0.06183407581012355,20.0,0.9798547319700079,0.7,0.0,0.0748663101604278,125.0,13.0,17.0,395.0,582.0,550.0
sh.601336,新华保险,5.780007,2.208649,71.16,148405089824.01553,J68保险业,0.11537085,0.07854905595149475,20.0,0.6808397090902489,3.1999999999999997,0.0,0.04496908375491849,15.0,329.0,97.0,118.0,442.0,559.0
sh.600398,海澜之家,14.249098,1.671854,6.27,30114037336.37017,C18纺织服装、服饰业,0.10983620000000001,0.04284687374409136,20.0,0.3900979253114306,0.41,0.0,0.06539074960127592,153.0,234.0,39.0,138.0,39.0,564.0
sh.601319,中国人保,7.575099,1.286993,9.14,324386619901.9608,J68保险业,0.09206375,0.036680581209702474,20.0,0.3984258865156207,0.255,0.0,0.027899343544857767,37.0,162.0,163.0,209.0,42.0,571.0
sh.600332,白云山,14.00112,1.103124,25.72,36158549689.57283,C27医药制造业,0.0898624,0.027148736485865185,20.0,0.30211452716447795,1.2000000000000002,0.0,0.04665629860031105,145.0,117.0,92.0,224.0,21.0,578.0
sh.601298,青岛港,10.297866,1.244897,8.7,46910627538.46153,G55水上运输业,0.0792856,0.034747836184657446,20.0,0.4382616286520812,0.4607,0.0,0.05295402298850575,72.0,149.0,72.0,289.0,83.0,582.0
sh.603833,欧派家居,13.435128,1.702642,52.95,32258926057.483727,C21家具制造业,0.0964531,0.0650571470857495,20.0,0.6744951389405783,3.7199999999999998,0.0,0.07025495750708215,128.0,240.0,27.0,189.0,437.0,584.0
sh.600741,华域汽车,9.104356,0.971274,19.94,62860409588.7281,C36汽车制造业,0.0711399,0.038771855106643084,20.0,0.5450085691242619,0.8,0.0,0.04012036108324975,55.0,88.0,110.0,333.0,282.0,586.0


统计项,数值
行业分布统计：,
,G55水上运输业: 3只
,J66货币金融服务: 3只
,C38电气机械和器材制造业: 1只
,E48土木工程建筑业: 3只
,B06煤炭开采和洗选业: 3只
,C14食品制造业: 1只
,B07石油和天然气开采业: 1只
,C26化学原料和化学制品制造业: 2只
,C18纺织服装、服饰业: 2只
,C35专用设备制造业: 2只
,J68保险业: 3只
,C27医药制造业: 2只
,F51批发业: 1只
,L72商务服务业: 1只
,C21家具制造业: 1只
,C36汽车制造业: 1只
统计信息：,
,目标日期：2025-12-19
,总股票数量：722
,筛选后股票数量：30
,涉及行业数量：16
,有分红的股票数量：365
,平均分红收益率：0.016
,最高分红收益率：0.383
,分红数据年份范围：2024年-2025年
,ROE数据年份范围：2020-12-19到2025-12-19年（共5年）
,有ROE数据的股票数量：659
,平均ROE均值：6.81%
,平均ROE波动率：79.42%
前100只股票估值统计：,
,前100只股票估值统计：
,综合PE均值：10.12
,综合PB均值：1.247
,综合PE*PB均值：13.99
,综合PE中位数：9.87
,综合PB中位数：1.062
,综合PE*PB中位数：11.13
筛选后30只股票估值统计：,
,筛选后30只股票估值统计：
,综合PE均值：9.99
,综合PB均值：1.229
,综合PE*PB均值：12.45
,综合PE中位数：9.20
,综合PB中位数：1.230
,综合PE*PB中位数：11.40
