code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.601919,中远海控,6.22505,1.019802,15.29,192815686408.43344,G55水上运输业,0.2966938,0.28990483867834255,20.0,0.9771179535209112,7.12,0.0,0.09313276651406148,22.0,99.0,6.0,5.0,581.0,132.0
sh.601838,成都银行,5.297756,0.83156,16.64,70401328063.72086,J66货币金融服务,0.09986355,0.04851780624675202,20.0,0.4858409925017889,3.18573,0.0,0.03829002403846153,9.0,60.0,52.0,167.0,165.0,288.0
sh.601668,中国建筑,4.819643,0.446453,5.21,215278056131.34497,E48土木工程建筑业,0.08803995,0.04136426816707106,20.0,0.4698352073924515,1.04565,0.0,0.04014011516314779,5.0,8.0,47.0,235.0,143.0,295.0
sz.000651,格力电器,7.272898,1.59559,41.14,226900950859.59885,C38电气机械和器材制造业,0.1392411,0.0769376998506276,20.0,0.5525502157813145,11.379999999999999,0.0,0.05532328633932911,32.0,213.0,21.0,62.0,293.0,328.0
sh.601001,晋控煤业,12.08257,1.242842,13.96,23366298878.372658,B06煤炭开采和洗选业,0.1464172,0.11046227097477791,20.0,0.7544350730295205,2.575,0.0,0.036891117478510024,100.0,147.0,58.0,54.0,492.0,359.0
sh.600546,山煤国际,16.609772,1.250495,10.33,20477762007.389168,B06煤炭开采和洗选业,0.1795045,0.1503417792758956,20.0,0.8375376621527348,5.157,0.0,0.09984511132623428,192.0,152.0,4.0,18.0,546.0,366.0
sh.601009,南京银行,6.555537,0.774745,11.41,141069786701.87085,J66货币金融服务,0.0836689,0.036012034209194715,20.0,0.430411230567089,2.38399,0.0,0.041787730061349684,25.0,54.0,43.0,257.0,72.0,379.0
sh.601166,兴业银行,5.775272,0.573619,21.09,446367509433.294,J66货币金融服务,0.07247755,0.032333791960985896,20.0,0.44612148121709266,4.888,0.0,0.04635372214319582,14.0,20.0,32.0,322.0,95.0,388.0
sh.600873,梅花生物,7.504858,1.755714,10.09,28295151196.337994,C14食品制造业,0.1526227,0.08553715808878187,20.0,0.5604484659803678,1.82193,0.0,0.03611357779980179,35.0,250.0,61.0,50.0,306.0,396.0
sh.600985,淮北矿业,17.517492,0.755958,11.62,31297945989.19368,B06煤炭开采和洗选业,0.10842734999999999,0.06322010824203175,20.0,0.5830642198857738,3.5,0.0,0.06024096385542169,216.0,49.0,17.0,142.0,340.0,424.0
sh.600938,中国海油,10.71707,1.681419,27.79,83092576920.27667,B07石油和天然气开采业,0.13085835294117645,0.06242903936464702,17.0,0.4770734000657197,5.38114,0.0,0.03872716804605973,78.0,235.0,51.0,74.0,154.0,438.0
sh.600039,四川路桥,11.104448,1.727217,9.88,85887051022.40897,E48土木工程建筑业,0.12813535,0.07488597365347498,20.0,0.5844286814955824,2.083,0.0,0.04216599190283401,83.0,246.0,41.0,78.0,342.0,448.0
sh.600018,上港集团,8.995179,0.926079,5.57,129494767622.42725,G55水上运输业,0.0881796,0.04205685839106763,20.0,0.47694544306242753,0.74696,0.0,0.02682082585278276,53.0,76.0,103.0,234.0,152.0,466.0
sh.600177,雅戈尔,13.525923,0.822842,7.62,35229248402.435486,C18纺织服装、服饰业,0.07932775,0.05839077321476759,20.0,0.7360699530084692,2.16,0.0,0.05669291338582677,130.0,59.0,20.0,287.0,481.0,496.0
sz.002432,九安医疗,10.257446,0.8733,41.68,18270660325.04284,C35专用设备制造业,0.33995105,0.562127235340473,20.0,1.6535534611246916,0.0,0.0,0.0,71.0,69.0,369.0,2.0,648.0,511.0
sh.600970,中材国际,8.992916,1.216392,10.28,23149341491.279068,E48土木工程建筑业,0.09156685,0.045825822270481854,20.0,0.5004630198645236,1.38,0.0,0.026848249027237352,52.0,144.0,102.0,214.0,197.0,512.0
sh.600704,物产中大,7.487053,0.695139,5.5,28441863347.457626,F51批发业,0.06994199999999999,0.03487469612469009,20.0,0.49862308948400236,0.73,0.0,0.026545454545454546,34.0,36.0,104.0,340.0,192.0,514.0
sh.601318,中国平安,8.874334,1.262057,68.75,732931283394.5566,J68保险业,0.0892945,0.04413784304163968,20.0,0.49429520341834804,10.73,0.0,0.031214545454545457,50.0,156.0,81.0,230.0,181.0,517.0
sh.600483,福能股份,9.184095,1.053013,9.94,27636929855.896854,D44电力、热力生产和供应业,0.0687902,0.03348718599640607,20.0,0.48680169553811553,1.303,0.3,0.08621730382293762,58.0,105.0,8.0,349.0,167.0,520.0
sh.600096,云天化,9.652048,2.246825,29.85,54415049844.56765,C26化学原料和化学制品制造业,0.21218515,0.12435510076909634,20.0,0.5860688213529379,3.5999999999999996,0.0,0.024120603015075372,65.0,335.0,118.0,12.0,347.0,530.0
sh.600295,鄂尔多斯,17.626871,1.537438,11.54,22797914861.669712,C31黑色金属冶炼和压延加工业,0.12000335,0.09250449259774246,20.0,0.7708492521062326,3.5428571428571427,0.0,0.061401336964595196,218.0,202.0,15.0,105.0,507.0,540.0
sh.600398,海澜之家,14.249098,1.671854,6.27,30114037336.37017,C18纺织服装、服饰业,0.10983620000000001,0.04284687374409136,20.0,0.3900979253114306,1.91,0.0,0.06092503987240829,153.0,234.0,16.0,138.0,39.0,541.0
sh.600582,天地科技,8.630642,0.942711,5.81,24046331736.128864,C35专用设备制造业,0.0689648,0.028947693224340456,20.0,0.41974591711047454,0.977,0.0,0.033631669535283994,47.0,80.0,76.0,347.0,61.0,550.0
sh.600153,建发股份,13.314349,0.486773,9.35,27110411406.896553,L72商务服务业,0.06310535,0.06183407581012355,20.0,0.9798547319700079,2.8,0.0,0.059893048128342244,125.0,13.0,18.0,395.0,582.0,551.0
sh.600998,九州通,9.373246,0.986507,5.18,26119120818.45432,F51批发业,0.06836525,0.034370567742389856,20.0,0.5027490975662322,1.029368919411061,0.0,0.03974397372243478,60.0,91.0,49.0,353.0,205.0,553.0
sh.600741,华域汽车,9.104356,0.971274,19.94,62860409588.7281,C36汽车制造业,0.0711399,0.038771855106643084,20.0,0.5450085691242619,3.2800000000000002,0.0,0.032898696088264796,55.0,88.0,79.0,333.0,282.0,555.0
sz.002648,卫星化学,9.30285,1.781029,16.94,57028369602.17854,C26化学原料和化学制品制造业,0.13491709999999998,0.08225439024654903,20.0,0.6096661597866322,1.435358636997805,0.0,0.01694638296337432,59.0,260.0,174.0,66.0,374.0,559.0
sh.600566,济川药业,14.829264,1.770567,26.58,24404883640.64481,C27医药制造业,0.12257335,0.06128887152551475,20.0,0.5000179200904173,4.95,0.0,0.03724604966139955,160.0,254.0,57.0,98.0,195.0,569.0
sh.601601,中国太保,7.541907,1.389302,41.04,280886410373.53253,J68保险业,0.09187875,0.04102192606896822,20.0,0.44647893086234003,4.12,0.0,0.02007797270955166,36.0,178.0,147.0,211.0,96.0,572.0
sh.600585,海螺水泥,13.353381,0.617379,22.18,88718638789.98912,C30非金属矿物制品业,0.06182405,0.060850148441176026,20.0,0.9842472054350374,5.77,0.0,0.052028854824165915,126.0,28.0,24.0,404.0,584.0,582.0


统计项,数值
行业分布统计：,
,G55水上运输业: 2只
,J66货币金融服务: 3只
,E48土木工程建筑业: 3只
,C38电气机械和器材制造业: 1只
,B06煤炭开采和洗选业: 3只
,C14食品制造业: 1只
,B07石油和天然气开采业: 1只
,C18纺织服装、服饰业: 2只
,C35专用设备制造业: 2只
,F51批发业: 2只
,J68保险业: 2只
,D44电力、热力生产和供应业: 1只
,C26化学原料和化学制品制造业: 2只
,C31黑色金属冶炼和压延加工业: 1只
,L72商务服务业: 1只
,C36汽车制造业: 1只
,C27医药制造业: 1只
,C30非金属矿物制品业: 1只
统计信息：,
,目标日期：2025-12-19
,总股票数量：722
,筛选后股票数量：30
,涉及行业数量：18
,有分红的股票数量：368
,平均分红收益率：0.011
,最高分红收益率：0.289
,分红数据年份范围：2021年-2025年
,ROE数据年份范围：2020-12-19到2025-12-19年（共5年）
,有ROE数据的股票数量：659
,平均ROE均值：6.81%
,平均ROE波动率：79.42%
前100只股票估值统计：,
,前100只股票估值统计：
,综合PE均值：10.38
,综合PB均值：1.202
,综合PE*PB均值：13.89
,综合PE中位数：9.51
,综合PB中位数：1.036
,综合PE*PB中位数：11.03
筛选后30只股票估值统计：,
,筛选后30只股票估值统计：
,综合PE均值：10.19
,综合PB均值：1.164
,综合PE*PB均值：12.15
,综合PE中位数：9.24
,综合PB中位数：1.036
,综合PE*PB中位数：10.71
