code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.600015,华夏银行,4.004087,0.352268,6.83,105089764481.68007,J66货币金融服务,0.0476551,0.023923574521467535,20.0,0.5020149894023418,1.6099999999999999,0.0,0.04714494875549048,1.0,3.0,31.0,498.0,201.0,35.0
sh.600016,民生银行,5.596856,0.302312,3.88,137595866927.74078,J66货币金融服务,0.04394305,0.015354267627138376,20.0,0.3494128793321897,0.9710000000000001,0.0,0.05005154639175259,12.0,1.0,27.0,522.0,28.0,40.0
sh.601818,光大银行,5.160822,0.418164,3.52,163369183027.86844,J66货币金融服务,0.05598475000000001,0.02461525577419311,20.0,0.4396778725312359,0.858,0.0,0.04875,7.0,5.0,29.0,446.0,85.0,41.0
sh.601668,中国建筑,4.78264,0.443025,5.17,213635999250.1368,E48土木工程建筑业,0.08803995,0.04136426816707106,20.0,0.4698352073924515,1.04565,0.0,0.040450676982591874,5.0,8.0,47.0,235.0,143.0,60.0
sh.601186,中国铁建,4.952854,0.387209,7.78,89511708067.94055,E48土木工程建筑业,0.0523656,0.027203106967287474,20.0,0.5194842982279869,1.176,0.0,0.030231362467866323,6.0,4.0,86.0,466.0,228.0,96.0
sh.601390,中国中铁,5.433389,0.427084,5.46,111777324502.61781,E48土木工程建筑业,0.0599647,0.030831595161798758,20.0,0.5141624182527179,0.866,0.0,0.03172161172161172,10.0,7.0,80.0,417.0,222.0,97.0
sh.601919,中远海控,6.245406,1.023137,15.34,193438665588.23526,G55水上运输业,0.2966938,0.28990483867834255,20.0,0.9771179535209112,7.12,0.0,0.09282920469361147,22.0,101.0,6.0,5.0,580.0,129.0
sh.600153,建发股份,13.271629,0.485211,9.32,27024527749.22919,L72商务服务业,0.06310535,0.06183407581012355,20.0,0.9798547319700079,2.8,0.0,0.06008583690987124,125.0,13.0,18.0,395.0,581.0,156.0
sh.600483,福能股份,9.10094,1.043479,9.85,27383981555.944054,D44电力、热力生产和供应业,0.0687902,0.03348718599640607,20.0,0.48680169553811553,1.303,0.3,0.08645685279187817,55.0,105.0,8.0,349.0,167.0,168.0
sh.600704,物产中大,7.500665,0.696403,5.51,28493742023.628498,F51批发业,0.06994199999999999,0.03487469612469009,20.0,0.49862308948400236,0.73,0.0,0.026497277676951,35.0,36.0,105.0,340.0,192.0,176.0
sh.600585,海螺水泥,13.281136,0.614039,22.06,88236062742.40604,C30非金属矿物制品业,0.06182405,0.060850148441176026,20.0,0.9842472054350374,5.77,0.0,0.05231187669990933,126.0,28.0,23.0,404.0,583.0,177.0
sh.600998,九州通,9.264675,0.97508,5.12,25819239616.07288,F51批发业,0.06836525,0.034370567742389856,20.0,0.5027490975662322,1.029368919411061,0.0,0.040209723414494566,61.0,89.0,49.0,353.0,205.0,199.0
sh.600582,天地科技,8.586078,0.937844,5.78,23920487956.117336,C35专用设备制造业,0.0689648,0.028947693224340456,20.0,0.41974591711047454,0.977,0.0,0.03380622837370242,47.0,80.0,76.0,347.0,61.0,203.0
sh.600177,雅戈尔,13.348418,0.812043,7.52,34771018669.34471,C18纺织服装、服饰业,0.07932775,0.05839077321476759,20.0,0.7360699530084692,2.16,0.0,0.057446808510638304,128.0,59.0,19.0,287.0,480.0,206.0
sh.600741,华域汽车,9.227635,0.984426,20.21,63711510960.14093,C36汽车制造业,0.0711399,0.038771855106643084,20.0,0.5450085691242619,3.2800000000000002,0.0,0.03245917862444335,58.0,91.0,79.0,333.0,282.0,228.0
sh.601006,大秦铁路,16.214391,0.648938,5.36,107990675869.04951,G53铁路运输业,0.05735375,0.0278250303879817,20.0,0.48514753417137846,1.69117,0.0,0.06310335820895521,185.0,31.0,14.0,437.0,164.0,230.0
sh.600018,上港集团,8.995179,0.926079,5.57,129532483295.35497,G55水上运输业,0.0881796,0.04205685839106763,20.0,0.47694544306242753,0.74696,0.0,0.02682082585278276,51.0,76.0,103.0,234.0,152.0,230.0
sh.600098,广州发展,10.28705,0.861734,6.76,23698133528.616493,D44电力、热力生产和供应业,0.04192395,0.021983522038288017,20.0,0.5243666696074205,0.92,0.0,0.027218934911242602,73.0,65.0,101.0,535.0,243.0,239.0
sh.600282,南钢股份,11.486427,1.143302,5.0,30825612732.97048,C31黑色金属冶炼和压延加工业,0.0701063,0.04134512186856288,20.0,0.5897490221073267,1.1036,0.0,0.044143999999999996,88.0,127.0,36.0,336.0,351.0,251.0
sh.601000,唐山港,12.810939,1.09101,3.86,22873631767.508335,G55水上运输业,0.06333235000000001,0.03051482358543139,20.0,0.4818204848774976,0.9500000000000001,0.0,0.04922279792746114,116.0,114.0,28.0,393.0,157.0,258.0
sh.600023,浙能电力,9.42048,0.914556,5.12,68652028931.06894,D44电力、热力生产和供应业,0.04250715,0.04123934136397198,20.0,0.9701742263118553,0.59,0.0,0.023046874999999998,63.0,75.0,123.0,531.0,576.0,261.0
sz.000651,格力电器,7.226934,1.585506,40.88,225472622889.9522,C38电气机械和器材制造业,0.1392411,0.0769376998506276,20.0,0.5525502157813145,11.379999999999999,0.0,0.05567514677103717,32.0,214.0,21.0,62.0,293.0,267.0
sh.601019,山东出版,11.663634,1.157962,8.63,18009926246.217552,R86新闻和出版业,0.07217435,0.0441222352004245,20.0,0.611328473348558,1.67,0.0,0.03870220162224797,89.0,131.0,52.0,325.0,375.0,272.0
sh.601857,中国石油,11.247093,1.141476,9.72,1572841854606.7417,B07石油和天然气开采业,0.0638877,0.031700893723247484,20.0,0.49619713533665294,1.7792000000000001,0.0,0.036609053497942384,86.0,126.0,60.0,390.0,187.0,272.0
sh.600985,淮北矿业,17.185836,0.741646,11.4,30704610179.640717,B06煤炭开采和洗选业,0.10842734999999999,0.06322010824203175,20.0,0.5830642198857738,3.5,0.0,0.06140350877192983,212.0,45.0,17.0,142.0,340.0,274.0
sh.601898,中煤能源,10.024873,1.095306,13.0,118972360546.60127,B06煤炭开采和洗选业,0.0885392,0.04089860363154867,20.0,0.4619265097442565,1.914,0.0,0.029446153846153844,68.0,116.0,91.0,233.0,123.0,275.0
sh.600219,南山铝业,10.827019,1.064086,4.82,55351749042.737915,C32有色金属冶炼和压延加工业,0.04995655,0.025287203005462538,20.0,0.5061839339478514,0.6914,0.0,0.028688796680497924,80.0,109.0,94.0,478.0,209.0,283.0
sz.001965,招商公路,12.988378,1.005467,9.89,67185149886.49263,G54道路运输业,0.0516115,0.025838570305283002,20.0,0.5006359107036804,1.708,0.0,0.034539939332659246,117.0,94.0,74.0,471.0,198.0,285.0
sh.601318,中国平安,8.847227,1.258202,68.54,730580006993.3016,J68保险业,0.0892945,0.04413784304163968,20.0,0.49429520341834804,10.73,0.0,0.03131018383425736,49.0,154.0,82.0,230.0,181.0,285.0
sh.600019,宝钢股份,16.660958,0.769969,7.22,157287656521.4311,C31黑色金属冶炼和压延加工业,0.0451009,0.03266987999253006,20.0,0.724373127643352,1.52,0.0,0.04210526315789474,194.0,53.0,43.0,518.0,471.0,290.0


统计项,数值
行业分布统计：,
,J66货币金融服务: 3只
,E48土木工程建筑业: 3只
,G55水上运输业: 3只
,L72商务服务业: 1只
,D44电力、热力生产和供应业: 3只
,F51批发业: 2只
,C30非金属矿物制品业: 1只
,C35专用设备制造业: 1只
,C18纺织服装、服饰业: 1只
,C36汽车制造业: 1只
,G53铁路运输业: 1只
,C31黑色金属冶炼和压延加工业: 2只
,C38电气机械和器材制造业: 1只
,R86新闻和出版业: 1只
,B07石油和天然气开采业: 1只
,B06煤炭开采和洗选业: 2只
,C32有色金属冶炼和压延加工业: 1只
,G54道路运输业: 1只
,J68保险业: 1只
统计信息：,
,目标日期：2025-12-22
,总股票数量：721
,筛选后股票数量：30
,涉及行业数量：19
,有分红的股票数量：367
,平均分红收益率：0.011
,最高分红收益率：0.290
,分红数据年份范围：2021年-2025年
,ROE数据年份范围：2020-12-22到2025-12-22年（共5年）
,有ROE数据的股票数量：658
,平均ROE均值：6.81%
,平均ROE波动率：79.45%
前100只股票估值统计：,
,前100只股票估值统计：
,综合PE均值：10.18
,综合PB均值：0.930
,综合PE*PB均值：10.04
,综合PE中位数：9.34
,综合PB中位数：0.908
,综合PE*PB中位数：10.08
筛选后30只股票估值统计：,
,筛选后30只股票估值统计：
,综合PE均值：9.85
,综合PB均值：0.844
,综合PE*PB均值：8.59
,综合PE中位数：9.34
,综合PB中位数：0.920
,综合PE*PB中位数：9.06
