code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.600015,华夏银行,3.974775,0.349689,6.78,104328453519.84386,J66货币金融服务,0.0476551,0.023923574521467535,20.0,0.5020149894023418,1.6099999999999999,0.0,0.047492625368731556,1.0,3.0,33.0,527.0,208.0,37.0
sh.601818,光大银行,5.131499,0.415788,3.5,162439942926.53308,J66货币金融服务,0.05598475000000001,0.02461525577419311,20.0,0.4396778725312359,0.858,0.0,0.04902857142857143,8.0,5.0,30.0,468.0,88.0,43.0
sh.600016,民生银行,5.625706,0.30387,3.9,138307359772.59805,J66货币金融服务,0.04394305,0.015354267627138376,20.0,0.3494128793321897,0.9710000000000001,0.0,0.0497948717948718,14.0,1.0,29.0,551.0,28.0,44.0
sh.601668,中国建筑,4.78264,0.443025,5.17,213617377741.93546,E48土木工程建筑业,0.08803995,0.04136426816707106,20.0,0.4698352073924515,1.04565,0.0,0.040450676982591874,5.0,8.0,49.0,245.0,147.0,62.0
sh.601186,中国铁建,4.971952,0.388703,7.81,89830610173.6286,E48土木工程建筑业,0.0523656,0.027203106967287474,20.0,0.5194842982279869,1.176,0.0,0.030115236875800255,6.0,4.0,90.0,493.0,235.0,100.0
sh.601390,中国中铁,5.403535,0.424738,5.43,111177913502.10971,E48土木工程建筑业,0.0599647,0.030831595161798758,20.0,0.5141624182527179,0.866,0.0,0.031896869244935545,10.0,7.0,83.0,435.0,229.0,100.0
sh.601919,中远海控,6.098839,0.999126,14.98,188900311346.62268,G55水上运输业,0.2966938,0.28990483867834255,20.0,0.9771179535209112,7.12,0.0,0.09506008010680908,22.0,99.0,5.0,5.0,609.0,126.0
sh.600153,建发股份,13.599148,0.497185,9.55,27690342512.63459,L72商务服务业,0.06310535,0.06183407581012355,20.0,0.9798547319700079,2.8,0.0,0.058638743455497376,143.0,15.0,19.0,413.0,610.0,177.0
sh.600704,物产中大,7.364537,0.683764,5.41,27976167829.7752,F51批发业,0.06994199999999999,0.03487469612469009,20.0,0.49862308948400236,0.73,0.0,0.02698706099815157,36.0,38.0,107.0,356.0,199.0,181.0
sh.600483,福能股份,9.378126,1.07526,10.15,28219184934.228558,D44电力、热力生产和供应业,0.0687902,0.03348718599640607,20.0,0.48680169553811553,1.303,0.3,0.08567487684729064,62.0,113.0,9.0,365.0,172.0,184.0
sh.600585,海螺水泥,13.341341,0.616822,22.16,88633448718.87033,C30非金属矿物制品业,0.06182405,0.060850148441176026,20.0,0.9842472054350374,5.77,0.0,0.05207581227436823,130.0,29.0,27.0,422.0,612.0,186.0
sh.600998,九州通,9.192295,0.967462,5.08,25614744393.38236,F51批发业,0.06836525,0.034370567742389856,20.0,0.5027490975662322,1.029368919411061,0.0,0.04052633540988428,58.0,92.0,48.0,369.0,212.0,198.0
sh.600177,雅戈尔,13.295166,0.808804,7.49,34629638901.37048,C18纺织服装、服饰业,0.07932775,0.05839077321476759,20.0,0.7360699530084692,2.16,0.0,0.057676902536715625,128.0,62.0,20.0,298.0,500.0,210.0
sh.600582,天地科技,8.719771,0.952447,5.87,24294774088.390324,C35专用设备制造业,0.0689648,0.028947693224340456,20.0,0.41974591711047454,0.977,0.0,0.03328790459965929,52.0,87.0,80.0,363.0,64.0,219.0
sh.600741,华域汽车,9.131751,0.974197,20.0,63052704000.0,C36汽车制造业,0.0711399,0.038771855106643084,20.0,0.5450085691242619,3.2800000000000002,0.0,0.0328,57.0,93.0,82.0,348.0,289.0,232.0
sh.600018,上港集团,8.898283,0.916103,5.51,128122333170.45456,G55水上运输业,0.0881796,0.04205685839106763,20.0,0.47694544306242753,0.74696,0.0,0.02711288566243194,53.0,80.0,106.0,244.0,156.0,239.0
sh.600282,南钢股份,11.049943,1.099857,4.81,29653625769.800617,C31黑色金属冶炼和压延加工业,0.0701063,0.04134512186856288,20.0,0.5897490221073267,1.1036,0.0,0.045887733887733886,88.0,122.0,35.0,352.0,358.0,245.0
sh.601006,大秦铁路,16.456396,0.658624,5.44,109603611423.39078,G53铁路运输业,0.05735375,0.0278250303879817,20.0,0.48514753417137846,1.69117,0.0,0.06217536764705882,196.0,33.0,17.0,457.0,168.0,246.0
sh.600098,广州发展,10.256615,0.859184,6.74,23629340146.05893,D44电力、热力生产和供应业,0.04192395,0.021983522038288017,20.0,0.5243666696074205,0.92,0.0,0.027299703264094956,76.0,70.0,105.0,565.0,250.0,251.0
sh.601318,中国平安,8.24958,1.173208,63.91,681257543228.8615,J68保险业,0.0892945,0.04413784304163968,20.0,0.49429520341834804,10.73,0.0,0.03357846972304804,47.0,141.0,79.0,240.0,188.0,267.0
sh.601000,唐山港,12.910506,1.099489,3.89,23052008833.057854,G55水上运输业,0.06333235000000001,0.03051482358543139,20.0,0.4818204848774976,0.9500000000000001,0.0,0.04884318766066838,120.0,121.0,31.0,411.0,161.0,272.0
sh.601857,中国石油,11.027242,1.119163,9.53,1542565419698.6606,B07石油和天然气开采业,0.0638877,0.031700893723247484,20.0,0.49619713533665294,1.7792000000000001,0.0,0.037338929695697805,87.0,130.0,59.0,407.0,194.0,276.0
sh.600023,浙能电力,9.494077,0.921701,5.16,69191350674.22096,D44电力、热力生产和供应业,0.04250715,0.04123934136397198,20.0,0.9701742263118553,0.59,0.0,0.022868217054263566,64.0,81.0,132.0,561.0,605.0,277.0
sh.600985,淮北矿业,17.110459,0.738393,11.35,30568688781.748047,B06煤炭开采和洗选业,0.10842734999999999,0.06322010824203175,20.0,0.5830642198857738,3.5,0.0,0.06167400881057269,214.0,46.0,18.0,147.0,347.0,278.0
sh.601898,中煤能源,9.95547,1.087723,12.91,118163946132.59668,B06煤炭开采和洗选业,0.0885392,0.04089860363154867,20.0,0.4619265097442565,1.914,0.0,0.029651432997676218,70.0,116.0,93.0,243.0,127.0,279.0
sz.000651,格力电器,7.203952,1.580464,40.75,224734962866.52325,C38电气机械和器材制造业,0.1392411,0.0769376998506276,20.0,0.5525502157813145,11.379999999999999,0.0,0.055852760736196314,34.0,227.0,22.0,63.0,300.0,283.0
sh.600219,南山铝业,10.76782,1.058268,4.74,55049575820.86116,C32有色金属冶炼和压延加工业,0.04995655,0.025287203005462538,20.0,0.5061839339478514,0.6914,0.0,0.029172995780590717,82.0,110.0,96.0,507.0,216.0,288.0
sh.601019,山东出版,11.717695,1.163329,8.67,18093255154.31377,R86新闻和出版业,0.07217435,0.0441222352004245,20.0,0.611328473348558,1.67,0.0,0.03852364475201846,93.0,138.0,57.0,340.0,386.0,288.0
sh.600008,首创环保,12.86555,1.050782,2.99,21947377313.63182,D46水的生产和供应业,0.052876400000000004,0.03760085054665092,20.0,0.7111083686985293,0.54,0.0,0.03612040133779264,118.0,108.0,66.0,488.0,478.0,292.0
sh.600019,宝钢股份,16.59173,0.76677,7.19,156611663856.13605,C31黑色金属冶炼和压延加工业,0.0451009,0.03266987999253006,20.0,0.724373127643352,1.52,0.0,0.04228094575799722,200.0,56.0,43.0,547.0,491.0,299.0


统计项,数值
行业分布统计：,
,J66货币金融服务: 3只
,E48土木工程建筑业: 3只
,G55水上运输业: 3只
,L72商务服务业: 1只
,F51批发业: 2只
,D44电力、热力生产和供应业: 3只
,C30非金属矿物制品业: 1只
,C18纺织服装、服饰业: 1只
,C35专用设备制造业: 1只
,C36汽车制造业: 1只
,C31黑色金属冶炼和压延加工业: 2只
,G53铁路运输业: 1只
,J68保险业: 1只
,B07石油和天然气开采业: 1只
,B06煤炭开采和洗选业: 2只
,C38电气机械和器材制造业: 1只
,C32有色金属冶炼和压延加工业: 1只
,R86新闻和出版业: 1只
,D46水的生产和供应业: 1只
统计信息：,
,目标日期：2025-12-12
,总股票数量：761
,筛选后股票数量：30
,涉及行业数量：19
,有分红的股票数量：383
,平均分红收益率：0.011
,最高分红收益率：0.291
,分红数据年份范围：2021年-2025年
,ROE数据年份范围：2020-12-12到2025-12-12年（共5年）
,有ROE数据的股票数量：698
,平均ROE均值：6.80%
,平均ROE波动率：83.13%
前100只股票估值统计：,
,前100只股票估值统计：
,综合PE均值：9.95
,综合PB均值：0.920
,综合PE*PB均值：9.73
,综合PE中位数：9.37
,综合PB中位数：0.905
,综合PE*PB中位数：9.12
,ROE均值平均值：7.31%
,ROE波动率平均值：56.64%
筛选后30只股票估值统计：,
,筛选后30只股票估值统计：
,综合PE均值：9.82
,综合PB均值：0.840
,综合PE*PB均值：8.52
,综合PE中位数：9.44
,综合PB中位数：0.919
,综合PE*PB中位数：8.89
,ROE均值平均值：7.56%
,ROE波动率平均值：58.65%
