code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,eps_predicted,avg_dividend_pay_rate,amount,stockDividend,dividend_yield,predicted_dividend_yield,pe_rank,pb_rank,dividend_rank,predicted_dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.601997,贵阳银行,3.916791,0.313527,5.66,20694224523.84627,J66货币金融服务,0.06293129411764707,0.031560632510622924,17.0,0.5015093516370698,1.41,20.164431325646664,1.18,0.0,0.04169611307420494,0.05023294729533886,1.0,3.0,50.0,52.0,377.0,224.0,56.0
sh.601166,兴业银行,5.076028,0.47403,18.59,393417904667.0504,J66货币金融服务,0.0724935294117647,0.032383777929925125,17.0,0.4467126679125335,3.60625,28.731099609212333,4.354,0.0,0.04684238838084992,0.05573508766311026,7.0,17.0,31.0,35.0,305.0,112.0,59.0
sh.600016,民生银行,5.313292,0.270837,3.56,126239582727.14345,J66货币金融服务,0.043405882352941176,0.015253283535366872,17.0,0.3514105164673219,0.676666666667,26.500917567229667,0.811,0.0,0.04556179775280899,0.050371594252343374,10.0,1.0,35.0,50.0,498.0,27.0,61.0
sz.000001,平安银行,5.083575,0.47168,11.28,218886476301.52817,J66货币金融服务,0.06782435294117647,0.02710260252250044,17.0,0.3995998685900669,2.167142857143,27.891214226117,2.208,0.0,0.03914893617021277,0.0535853241907577,8.0,16.0,65.0,41.0,340.0,56.0,65.0
sh.601668,中国建筑,5.053639,0.386488,4.64,191722923915.08133,E48土木工程建筑业,0.08741129411764706,0.03968970830039682,17.0,0.4540569808631177,0.946666666667,24.617302062913,1.06745,0.0,0.04601077586206897,0.05022495535825973,6.0,10.0,32.0,53.0,229.0,130.0,69.0
sh.601229,上海银行,5.499523,0.527513,9.38,133268086570.18816,J66货币金融服务,0.06607005882352941,0.028541071214283873,17.0,0.43198192528503687,1.725384615385,29.892432015630003,1.88,0.0,0.04008528784648187,0.05498501313028789,14.0,22.0,61.0,36.0,357.0,92.0,72.0
sh.601169,北京银行,5.2775,0.38199,5.12,108252822754.31721,J66货币金融服务,0.054136411764705884,0.02257821814564544,17.0,0.417061593290992,0.925,27.11966138429533,1.228,0.0,0.04796875,0.048995481993111684,9.0,9.0,27.0,63.0,425.0,68.0,81.0
sh.601077,渝农商行,5.931971,0.549605,6.58,58154263787.46056,J66货币金融服务,0.06804129411764706,0.024691898468335485,17.0,0.36289577951944685,1.143157894737,30.050296946783664,1.1854099999999999,0.0,0.03603069908814589,0.05220704284788285,17.0,25.0,79.0,44.0,337.0,30.0,86.0
sh.601577,长沙银行,4.611099,0.514506,9.44,37957119302.94071,J66货币金融服务,0.0763984705882353,0.03334408442309828,17.0,0.4364496326479208,2.095,21.129027434508334,1.58,0.0,0.03347457627118645,0.04689122084247348,3.0,20.0,98.0,77.0,282.0,97.0,100.0
sh.601825,沪农商行,6.518907,0.61081,8.34,78175961183.70485,J66货币金融服务,0.07461323529411765,0.03058988608292252,17.0,0.4099793550345372,1.3,32.694311881158335,1.588,0.0,0.038081534772182256,0.050962356649287575,25.0,34.0,69.0,48.0,292.0,66.0,107.0
sh.600704,物产中大,7.118455,0.609753,4.97,25700160860.17282,F51批发业,0.06955652941176471,0.03578317391966099,17.0,0.514447374276392,0.77,32.21409624829,0.79,0.0,0.03179074446680081,0.04990916320157606,32.0,33.0,112.0,56.0,332.0,244.0,121.0
sh.601818,光大银行,4.967929,0.37245,3.18,147591917776.63672,J66货币金融服务,0.056197,0.024158629118288148,17.0,0.4298917934816476,0.6,22.606545263593333,0.727,0.0,0.04572327044025157,0.04265385898791195,5.0,8.0,34.0,109.0,409.0,87.0,122.0
sh.600000,浦发银行,6.14714,0.409998,9.28,309043726962.7851,J66货币金融服务,0.045989764705882355,0.017796605843985434,17.0,0.38696883877966753,1.536666666667,27.019923700286668,1.471,0.0,0.03170258620689655,0.04474204319624589,21.0,11.0,113.0,92.0,478.0,43.0,124.0
